date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"124,772","1,891,443",15.2,15.3,15.0,15.0,-0.25,73
107/07/03,"272,450","4,029,614",15.1,15.1,14.3,14.7,-0.3,137
107/07/04,"212,022","3,086,318",14.55,14.85,14.4,14.4,-0.3,112
107/07/05,"219,615","3,187,719",15.0,15.0,14.2,14.2,-0.2,132
107/07/06,"229,109","3,267,546",14.3,14.5,14.1,14.25,0.05,101
107/07/09,"171,019","2,421,415",14.35,14.4,14.0,14.1,-0.15,86
107/07/10,"505,056","7,341,347",14.3,14.7,14.15,14.25,0.15,195
107/07/11,"141,812","2,050,423",14.55,14.55,14.35,14.4,0.15,83
107/07/12,"182,008","2,676,815",14.4,15.3,14.35,14.85,0.45,102
107/07/13,"268,415","3,996,498",15.0,15.2,14.7,14.7,-0.15,126
107/07/16,"649,278","9,594,481",14.7,15.0,14.55,14.55,-0.15,159
107/07/17,"131,873","1,922,558",14.7,14.8,14.45,14.45,-0.1,65
107/07/18,"141,116","2,035,725",14.55,14.7,14.25,14.25,-0.2,96
107/07/19,"434,813","6,170,182",14.3,14.5,14.05,14.05,-0.2,130
107/07/20,"142,031","1,992,598",14.0,14.15,13.95,14.0,-0.05,71
107/07/23,"117,300","1,619,938",14.0,14.0,13.75,13.75,-0.25,75
107/07/24,"85,017","1,169,738",13.65,13.85,13.65,13.75,0.0,54
107/07/25,"884,838","13,088,801",14.15,15.1,14.0,15.1,1.35,424
107/07/26,"841,773","12,388,234",14.8,15.0,14.55,14.6,-0.5,392
107/07/27,"132,657","1,931,589",14.6,14.7,14.45,14.6,0.0,89
107/07/30,"236,000","3,457,200",15.0,15.0,14.4,14.4,-0.2,108
107/07/31,"178,008","2,572,576",14.4,14.85,14.3,14.3,-0.1,91
107/08/01,"218,019","3,115,664",14.4,14.55,14.15,14.2,-0.1,123
107/08/02,"104,323","1,474,738",14.3,14.3,14.05,14.05,-0.15,72
107/08/03,"136,661","1,922,686",14.1,14.25,14.0,14.05,0.0,67
107/08/06,"81,477","1,149,828",14.2,14.2,14.05,14.1,0.05,50
107/08/07,"97,200","1,383,449",14.2,14.35,14.15,14.15,0.05,72
107/08/08,"158,200","2,248,488",14.15,14.45,14.1,14.1,-0.05,87
107/08/09,"132,522","1,862,633",14.15,14.15,14.0,14.0,-0.1,64
107/08/10,"141,029","1,993,407",14.05,14.25,14.05,14.05,0.05,52
107/08/13,"371,215","4,961,526",14.05,14.05,12.8,13.05,-1.0,185
107/08/14,"146,505","1,946,295",13.05,13.6,13.05,13.4,0.35,87
107/08/15,"173,787","2,268,101",13.4,13.45,12.8,12.9,-0.5,99
107/08/16,"175,667","2,266,504",12.85,13.2,12.7,12.9,0.0,106
107/08/17,"78,309","1,018,054",13.1,13.1,12.9,12.9,0.0,36
107/08/20,"84,418","1,085,656",12.95,13.05,12.75,12.8,-0.1,65
107/08/21,"182,415","2,340,452",12.75,13.1,12.75,13.0,0.2,74
107/08/22,"184,021","2,363,823",12.85,13.0,12.8,12.8,-0.2,74
107/08/23,"223,030","2,923,540",13.0,13.5,12.85,12.9,0.1,120
107/08/24,"81,503","1,055,237",13.0,13.0,12.9,12.95,0.05,47
107/08/27,"69,798","901,912",13.0,13.0,12.9,12.9,-0.05,45
107/08/28,"107,597","1,404,944",12.95,13.15,12.95,13.0,0.1,65
107/08/29,"444,060","5,880,957",13.15,13.4,13.0,13.3,0.3,171
107/08/30,"157,050","2,084,979",13.4,13.5,13.1,13.1,-0.2,85
107/08/31,"526,056","7,326,529",13.1,14.35,13.1,13.95,0.85,303
107/09/03,"308,089","4,260,108",13.8,14.05,13.6,13.6,-0.35,112
107/09/04,"180,007","2,504,298",13.65,14.05,13.65,14.0,0.4,84
107/09/05,"189,144","2,648,200",14.0,14.2,13.9,14.0,0.0,69
107/09/06,"182,790","2,566,167",13.85,14.35,13.85,14.3,0.3,86
107/09/07,"729,500","10,694,698",14.15,15.2,14.15,14.15,-0.15,372
107/09/10,"169,746","2,378,068",14.05,14.25,13.95,13.95,-0.2,83
107/09/11,"163,925","2,288,660",13.95,14.25,13.9,13.95,0.0,78
107/09/12,"83,520","1,177,330",14.0,14.2,13.95,14.2,0.25,45
107/09/13,"217,000","3,059,050",14.5,14.5,13.95,13.95,-0.25,107
107/09/14,"60,182","852,598",14.1,14.25,14.1,14.1,0.15,48
107/09/17,"63,038","892,788",14.05,14.3,14.05,14.25,0.15,48
107/09/18,"324,341","4,670,224",14.25,14.6,14.2,14.4,0.15,131
107/09/19,"179,773","2,604,634",14.3,14.6,14.3,14.6,0.2,88
107/09/20,"112,326","1,626,510",14.4,14.65,14.4,14.45,-0.15,80
107/09/21,"85,282","1,233,210",14.35,14.55,14.35,14.45,0.0,54
107/09/25,"79,300","1,141,349",14.55,14.55,14.2,14.5,0.05,41
107/09/26,"97,175","1,403,701",14.3,14.6,14.3,14.4,-0.1,35
107/09/27,"99,966","1,442,402",14.2,14.7,14.2,14.7,0.3,64
107/09/28,"486,169","7,181,050",14.55,14.9,14.35,14.5,-0.2,146
107/10/01,"55,041","803,546",14.7,14.7,14.5,14.6,0.1,39
107/10/02,"43,519","626,021",14.6,14.6,14.3,14.45,-0.15,27
107/10/03,"76,702","1,083,828",14.35,14.35,13.9,14.15,-0.3,48
107/10/04,"74,019","1,021,705",14.05,14.05,13.65,13.65,-0.5,50
107/10/05,"133,500","1,785,300",13.6,13.65,13.05,13.25,-0.4,76
107/10/08,"43,145","568,977",13.05,13.3,13.05,13.3,0.05,34
107/10/09,"42,100","554,380",13.05,13.35,13.05,13.25,-0.05,25
107/10/11,"308,145","3,716,940",12.95,12.95,11.95,11.95,-1.3,116
107/10/12,"148,128","1,691,160",10.9,11.85,10.9,11.7,-0.25,105
107/10/15,"114,035","1,323,012",11.6,11.8,11.4,11.7,0.0,61
107/10/16,"111,200","1,300,050",11.35,12.15,11.35,11.65,-0.05,64
107/10/17,"30,751","361,485",11.95,11.95,11.65,11.65,0.0,28
107/10/18,"80,088","949,746",11.65,12.1,11.65,11.8,0.15,49
107/10/19,"117,005","1,336,210",11.5,11.5,11.35,11.4,-0.4,72
107/10/22,"42,249","484,111",11.25,11.75,11.25,11.75,0.35,37
107/10/23,"30,144","349,527",11.75,11.8,11.45,11.65,-0.1,32
107/10/24,"8,259","96,066",11.6,11.7,11.6,11.6,-0.05,9
107/10/25,"103,221","1,144,702",10.8,11.25,10.8,11.05,-0.55,54
107/10/26,"116,020","1,276,993",11.1,11.1,10.9,11.0,-0.05,57
107/10/29,"43,022","472,616",11.0,11.1,10.9,10.9,-0.1,29
107/10/30,"55,477","604,850",10.8,11.0,10.8,10.85,-0.05,44
107/10/31,"112,121","1,232,381",11.0,11.25,10.85,10.95,0.1,78
107/11/01,"56,020","618,490",11.05,11.15,10.95,11.15,0.2,37
107/11/02,"95,018","1,069,202",11.2,11.45,11.15,11.2,0.05,58
107/11/05,"22,312","248,032",11.2,11.2,11.1,11.1,-0.1,13
107/11/06,"54,224","599,286",11.15,11.2,11.0,11.0,-0.1,34
107/11/07,"51,200","562,900",11.0,11.1,10.95,11.0,0.0,27
107/11/08,"163,090","1,821,830",11.15,11.3,10.95,11.25,0.25,85
107/11/09,"36,000","400,250",11.4,11.4,11.05,11.1,-0.15,27
107/11/12,"34,033","380,563",11.35,11.35,11.1,11.1,0.0,31
107/11/13,"38,005","415,505",10.9,11.1,10.8,11.05,-0.05,30
107/11/14,"27,000","301,900",11.1,11.25,11.1,11.2,0.15,15
107/11/15,"66,260","755,338",11.3,11.55,11.3,11.4,0.2,47
