date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"216,100","6,156,200",28.55,28.60,28.40,28.45,-0.05,138
107/07/03,"309,218","8,770,589",28.45,28.55,28.20,28.40,-0.05,206
107/07/04,"247,101","6,977,878",28.25,28.40,28.15,28.20,-0.20,137
107/07/05,"478,002","13,418,156",28.20,28.20,28.00,28.10,-0.10,239
107/07/06,"625,125","17,352,248",28.10,28.10,27.60,27.75,-0.35,342
107/07/09,"684,510","19,156,904",27.75,28.50,27.70,27.95,+0.20,405
107/07/10,"407,101","10,878,748",26.60,26.85,26.60,26.70,X0.00,313
107/07/11,"234,202","6,252,654",26.70,26.80,26.55,26.65,-0.05,183
107/07/12,"120,324","3,212,048",26.60,26.80,26.60,26.65, 0.00,102
107/07/13,"202,924","5,462,651",26.75,27.15,26.75,27.10,+0.45,137
107/07/16,"355,801","9,629,517",27.10,27.25,26.95,27.05,-0.05,94
107/07/17,"313,169","8,475,896",27.05,27.20,26.95,27.00,-0.05,139
107/07/18,"138,372","3,757,385",27.10,27.25,27.05,27.20,+0.20,104
107/07/19,"186,700","5,059,529",27.30,27.30,27.00,27.15,-0.05,106
107/07/20,"87,000","2,356,350",27.15,27.15,27.05,27.05,-0.10,58
107/07/23,"290,065","7,824,005",27.05,27.15,26.80,26.85,-0.20,138
107/07/24,"82,521","2,218,484",26.85,26.95,26.85,26.85, 0.00,77
107/07/25,"245,534","6,609,518",26.85,27.05,26.80,27.00,+0.15,148
107/07/26,"150,826","4,067,709",27.00,27.10,26.90,26.95,-0.05,107
107/07/27,"339,213","9,199,776",27.00,27.30,27.00,27.15,+0.20,269
107/07/30,"158,889","4,296,811",27.15,27.15,27.00,27.05,-0.10,127
107/07/31,"217,100","5,880,929",27.05,27.25,27.00,27.05, 0.00,143
107/08/01,"168,255","4,583,487",27.10,27.35,27.10,27.35,+0.30,128
107/08/02,"306,007","8,291,060",27.25,27.30,27.00,27.00,-0.35,201
107/08/03,"164,379","4,452,968",27.10,27.20,27.00,27.05,+0.05,133
107/08/06,"217,634","5,926,174",27.20,27.35,27.05,27.35,+0.30,173
107/08/07,"108,370","2,948,062",27.25,27.30,27.15,27.20,-0.15,90
107/08/08,"177,364","4,835,650",27.20,27.35,27.15,27.15,-0.05,109
107/08/09,"96,284","2,619,124",27.15,27.30,27.15,27.20,+0.05,68
107/08/10,"228,487","6,247,167",27.25,27.40,27.20,27.30,+0.10,134
107/08/13,"517,543","14,105,526",27.35,27.45,27.05,27.35,+0.05,333
107/08/14,"580,962","16,037,898",27.35,27.85,27.35,27.65,+0.30,291
107/08/15,"310,872","8,608,551",27.70,27.85,27.50,27.70,+0.05,233
107/08/16,"900,609","25,337,770",27.55,28.50,27.50,28.10,+0.40,526
107/08/17,"1,167,294","33,395,988",28.10,28.85,28.10,28.55,+0.45,673
107/08/20,"1,017,655","29,132,585",28.75,28.95,28.35,28.35,-0.20,496
107/08/21,"417,360","11,847,409",28.35,28.50,28.30,28.50,+0.15,242
107/08/22,"590,143","16,826,239",28.50,28.65,28.35,28.65,+0.15,311
107/08/23,"3,396,100","100,369,195",28.90,29.85,28.90,29.65,+1.00,"1,831"
107/08/24,"2,242,081","64,091,992",29.20,29.45,28.15,28.20,-1.45,"1,134"
107/08/27,"356,490","10,099,496",28.30,28.45,28.10,28.45,+0.25,216
107/08/28,"473,608","13,533,084",28.65,28.70,28.45,28.60,+0.15,318
107/08/29,"331,020","9,439,526",28.45,28.65,28.35,28.40,-0.20,187
107/08/30,"951,301","27,488,229",28.40,29.10,28.40,28.80,+0.40,494
107/08/31,"322,500","9,309,000",28.80,29.00,28.75,28.90,+0.10,175
107/09/03,"458,364","13,131,828",29.05,29.10,28.45,28.60,-0.30,280
107/09/04,"238,446","6,826,064",28.60,28.75,28.55,28.75,+0.15,130
107/09/05,"1,040,250","30,278,737",28.75,29.30,28.65,28.90,+0.15,629
107/09/06,"379,000","10,983,700",29.00,29.15,28.85,29.00,+0.10,229
107/09/07,"642,502","18,523,902",29.00,29.10,28.40,28.75,-0.25,436
107/09/10,"890,486","24,845,553",28.60,28.75,27.40,28.00,-0.75,570
107/09/11,"674,043","18,753,674",28.10,28.10,27.60,28.00, 0.00,403
107/09/12,"384,250","10,627,899",28.00,28.00,27.40,27.75,-0.25,219
107/09/13,"157,702","4,396,417",27.75,28.00,27.75,27.95,+0.20,134
107/09/14,"460,302","13,018,559",28.20,28.55,27.90,28.55,+0.60,383
107/09/17,"370,024","10,557,946",28.65,28.70,28.40,28.55, 0.00,206
107/09/18,"324,102","9,263,323",28.50,28.70,28.50,28.60,+0.05,206
107/09/19,"246,067","7,081,245",28.75,29.00,28.60,28.70,+0.10,194
107/09/20,"449,450","12,753,688",28.65,28.65,28.15,28.20,-0.50,327
107/09/21,"293,001","8,349,078",28.30,28.60,28.30,28.40,+0.20,166
107/09/25,"154,787","4,392,542",28.60,28.60,28.25,28.30,-0.10,128
107/09/26,"246,090","7,004,191",28.25,28.55,28.25,28.30, 0.00,135
107/09/27,"156,301","4,410,308",28.25,28.30,28.15,28.15,-0.15,114
107/09/28,"602,221","16,834,826",28.15,28.15,27.80,27.80,-0.35,393
107/10/01,"97,221","2,723,181",27.90,28.10,27.90,28.10,+0.30,75
107/10/02,"889,806","24,923,427",28.05,28.05,27.95,28.00,-0.10,132
107/10/03,"487,148","13,510,732",27.90,28.10,27.55,27.55,-0.45,265
107/10/04,"629,660","17,158,917",27.55,27.60,27.05,27.15,-0.40,372
107/10/05,"952,313","25,458,739",27.00,27.00,26.55,26.65,-0.50,453
107/10/08,"371,040","9,861,215",26.65,26.80,26.45,26.60,-0.05,239
107/10/09,"396,610","10,529,248",26.60,26.70,26.40,26.60, 0.00,220
107/10/11,"1,166,854","28,772,667",25.95,25.95,24.25,24.30,-2.30,585
107/10/12,"606,835","14,715,638",23.80,24.60,23.80,24.40,+0.10,358
107/10/15,"629,501","15,378,570",24.65,24.65,24.05,24.35,-0.05,293
107/10/16,"438,424","10,857,380",24.40,24.95,24.40,24.90,+0.55,255
107/10/17,"341,143","8,609,853",25.05,25.50,25.05,25.20,+0.30,203
107/10/18,"153,315","3,816,215",25.05,25.10,24.80,24.85,-0.35,134
107/10/19,"493,402","12,119,429",24.80,24.80,24.35,24.65,-0.20,178
107/10/22,"130,002","3,223,000",24.65,25.05,24.35,24.80,+0.15,90
