date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,480,"5,630",12.0,12.1,11.5,11.55,-0.45,209
107/07/03,367,"4,164",11.55,11.55,11.2,11.2,-0.35,123
107/07/04,108,"1,215",11.3,11.3,11.25,11.25,0.05,29
107/07/05,167,"1,854",11.2,11.2,11.0,11.0,-0.25,74
107/07/06,91,"1,017",11.3,11.3,11.1,11.3,0.3,39
107/07/09,43,487,11.15,11.45,11.15,11.4,0.1,18
107/07/10,84,958,11.4,11.45,11.35,11.4,0.0,43
107/07/11,109,"1,251",11.35,11.6,11.35,11.4,0.0,52
107/07/12,171,"1,948",11.45,11.55,11.25,11.4,0.0,59
107/07/13,120,"1,386",11.55,11.6,11.45,11.6,0.2,44
107/07/16,94,"1,091",11.6,11.7,11.5,11.6,0.0,32
107/07/17,106,"1,214",11.55,11.55,11.35,11.35,-0.25,51
107/07/18,87,"1,007",11.5,11.6,11.45,11.5,0.15,31
107/07/19,78,911,11.6,11.85,11.55,11.6,0.1,37
107/07/20,90,"1,054",11.75,11.85,11.6,11.65,0.05,39
107/07/23,140,"1,619",11.6,11.7,11.5,11.55,-0.1,39
107/07/24,81,944,11.6,11.7,11.55,11.7,0.15,29
107/07/25,38,441,11.55,11.6,11.55,11.6,-0.1,21
107/07/26,97,"1,126",11.65,11.7,11.55,11.55,-0.05,28
107/07/27,138,"1,602",11.6,11.75,11.55,11.55,0.0,48
107/07/30,109,"1,257",11.6,11.6,11.45,11.6,0.05,53
107/07/31,111,"1,258",11.3,11.5,11.25,11.5,0.2,37
107/08/01,38,432,11.5,11.5,11.35,11.5,0.0,15
107/08/02,64,720,11.45,11.45,11.2,11.3,-0.2,24
107/08/03,6,68,11.3,11.3,11.25,11.3,0.0,5
107/08/06,38,430,11.15,11.4,11.15,11.35,0.05,21
107/08/07,30,341,11.35,11.45,11.3,11.45,0.1,18
107/08/08,36,410,11.35,11.45,11.3,11.3,-0.15,18
107/08/09,38,438,11.4,11.45,11.35,11.35,0.05,16
107/08/10,392,"4,615",11.35,11.9,11.35,11.8,0.45,151
107/08/13,405,"4,786",11.9,12.0,11.55,11.9,0.1,173
107/08/14,678,"8,256",11.8,12.55,11.75,12.5,0.6,252
107/08/15,707,"8,676",12.4,12.5,12.05,12.2,-0.3,279
107/08/16,583,"7,097",12.2,12.4,11.7,11.85,-0.35,221
107/08/17,339,"4,065",11.9,12.3,11.8,11.85,0.0,149
107/08/20,128,"1,518",11.95,11.95,11.75,11.9,0.05,39
107/08/21,150,"1,789",11.95,12.0,11.9,11.95,0.05,56
107/08/22,189,"2,275",11.9,12.25,11.9,12.0,0.05,82
107/08/23,79,950,12.1,12.1,11.95,12.0,0.0,48
107/08/24,203,"2,470",12.05,12.3,11.95,12.15,0.15,93
107/08/27,"2,679","35,460",12.4,13.35,12.3,13.35,1.2,698
107/08/28,"6,787","92,567",14.0,14.4,12.5,12.6,-0.75,"2,970"
107/08/29,"1,314","16,451",12.55,12.7,12.35,12.6,0.0,483
107/08/30,339,"4,272",12.55,12.8,12.5,12.5,-0.1,163
