date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,926","72,199",37.75,37.85,37.25,37.25,-0.35,973
107/07/03,"3,659","139,120",37.55,38.6,37.4,37.6,0.35,"2,239"
107/07/04,"1,559","58,396",37.6,38.0,37.25,37.3,-0.3,865
107/07/05,"2,611","98,598",37.5,38.5,37.15,37.2,-0.1,"1,557"
107/07/06,"4,187","158,090",37.9,38.2,37.25,38.0,0.8,"2,177"
107/07/09,"2,391","91,161",38.0,38.7,37.75,37.8,-0.2,"1,168"
107/07/10,"1,374","52,043",38.0,38.15,37.7,37.75,-0.05,694
107/07/11,"1,044","39,126",37.85,37.85,37.35,37.35,-0.4,590
107/07/12,"1,539","57,827",37.35,37.9,37.3,37.55,0.2,729
107/07/13,"1,823","68,989",37.8,38.15,37.6,37.7,0.15,890
107/07/16,"1,175","44,420",37.8,37.95,37.6,37.85,0.15,667
107/07/17,"2,346","89,770",38.05,38.65,37.95,38.0,0.15,"1,377"
107/07/18,"1,647","62,626",38.35,38.35,37.65,37.7,-0.3,864
107/07/19,933,"35,188",38.0,38.0,37.5,37.6,-0.1,505
107/07/20,"1,161","43,757",37.8,38.0,37.5,37.55,-0.05,566
107/07/23,"1,656","61,767",37.65,37.7,37.15,37.3,-0.25,708
107/07/24,"2,719","102,967",37.6,38.2,37.5,38.0,0.7,"1,289"
107/07/25,"1,397","53,001",37.9,38.15,37.7,37.85,-0.15,719
107/07/26,"1,622","61,860",38.05,38.5,37.95,38.05,0.2,810
107/07/27,"1,301","49,596",38.3,38.3,38.0,38.05,0.0,665
107/07/30,"1,244","47,456",38.15,38.45,37.85,38.05,0.0,629
107/07/31,"2,260","87,012",38.25,38.75,38.05,38.65,0.6,"1,222"
107/08/01,"3,208","124,999",38.7,39.4,38.5,39.0,0.35,"1,639"
107/08/02,"3,001","116,926",39.55,39.55,38.45,38.5,-0.5,"1,573"
107/08/03,"1,393","53,402",38.75,38.95,38.05,38.2,-0.3,795
107/08/06,932,"35,510",38.3,38.35,38.0,38.0,-0.2,541
107/08/07,929,"35,218",38.0,38.1,37.75,37.85,-0.15,495
107/08/08,900,"34,087",37.95,38.15,37.7,37.7,-0.15,522
