date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,27,410,15.05,15.2,14.95,15.05,0.1,18
107/07/03,52,767,15.1,15.1,14.65,14.65,-0.4,37
107/07/04,85,"1,235",14.65,14.7,14.35,14.55,-0.1,54
107/07/05,466,"6,800",14.55,14.95,14.35,14.45,-0.1,96
107/07/06,253,"3,613",14.5,14.75,14.0,14.15,-0.3,115
107/07/09,105,"1,479",14.15,14.25,14.05,14.2,0.05,48
107/07/10,84,"1,218",14.2,14.7,14.2,14.7,0.5,43
107/07/11,107,"1,557",14.5,14.7,14.4,14.5,-0.2,71
107/07/12,145,"2,137",14.7,15.05,14.45,15.0,0.5,86
107/07/13,100,"1,509",15.1,15.15,15.0,15.05,0.05,69
107/07/16,41,614,15.15,15.15,14.95,14.95,-0.1,23
107/07/17,26,388,14.85,15.0,14.85,14.95,0.0,13
107/07/18,62,915,14.7,14.85,14.65,14.75,-0.2,31
107/07/19,44,640,14.9,14.9,14.5,14.65,-0.1,32
107/07/20,104,"1,520",14.6,14.75,14.4,14.65,0.0,60
107/07/23,28,408,14.65,14.65,14.5,14.55,-0.1,19
107/07/24,18,255,14.65,14.7,14.55,14.55,0.0,12
107/07/25,53,769,14.55,14.6,14.4,14.45,-0.1,31
107/07/26,22,319,14.5,14.55,14.45,14.5,0.05,18
107/07/27,75,"1,098",14.55,14.65,14.5,14.6,0.1,34
107/07/30,82,"1,185",14.65,14.65,14.3,14.5,-0.1,37
107/07/31,88,"1,279",14.4,14.65,14.35,14.5,0.0,51
107/08/01,68,985,14.5,14.55,14.3,14.45,-0.05,52
107/08/02,129,"1,844",14.3,14.45,14.05,14.3,-0.15,57
107/08/03,61,873,14.35,14.4,14.25,14.25,-0.05,30
107/08/06,40,572,14.25,14.45,14.25,14.3,0.05,26
107/08/07,52,740,14.5,14.5,14.15,14.15,-0.15,36
107/08/08,112,"1,577",14.15,14.25,14.0,14.1,-0.05,53
107/08/09,69,977,14.1,14.2,14.05,14.15,0.05,34
107/08/10,103,"1,462",14.15,14.35,14.15,14.35,0.2,54
107/08/13,505,"6,822",14.0,14.0,13.25,13.35,-1.0,228
107/08/14,126,"1,674",13.15,13.5,13.15,13.25,-0.1,42
107/08/15,244,"3,164",13.2,13.2,12.8,12.95,-0.3,103
107/08/16,201,"2,586",12.8,13.1,12.7,13.0,0.05,44
107/08/17,59,769,13.2,13.2,13.0,13.0,0.0,33
107/08/20,46,594,13.2,13.2,12.8,13.0,0.0,24
107/08/21,33,437,13.15,13.2,13.05,13.05,0.05,18
107/08/22,40,521,13.05,13.1,13.0,13.1,0.05,15
107/08/23,30,392,13.05,13.15,13.05,13.1,0.0,14
107/08/24,46,598,13.1,13.15,12.95,13.1,0.0,22
107/08/27,42,547,12.95,13.1,12.95,13.05,-0.05,23
107/08/28,89,"1,160",13.05,13.1,13.0,13.0,-0.05,17
107/08/29,26,338,13.1,13.1,13.05,13.05,0.05,10
107/08/30,995,"13,907",13.1,14.35,13.05,14.3,1.25,471
107/08/31,662,"9,405",13.8,14.75,13.65,14.75,0.45,366
107/09/03,175,"2,549",14.75,14.8,14.35,14.35,-0.4,94
107/09/04,56,813,14.5,14.7,14.35,14.35,0.0,38
107/09/05,239,"3,358",14.25,14.5,13.7,13.9,-0.45,104
107/09/06,107,"1,490",14.0,14.05,13.75,13.9,0.0,58
107/09/07,227,"3,032",13.75,13.75,13.1,13.4,-0.5,95
107/09/10,222,"2,907",13.2,13.35,12.85,12.85,-0.55,69
107/09/11,71,928,13.0,13.1,12.95,13.1,0.25,35
107/09/12,41,540,13.2,13.3,13.05,13.15,0.05,23
107/09/13,37,494,13.45,13.45,13.2,13.4,0.25,26
107/09/14,168,"2,323",13.4,14.1,13.4,13.6,0.2,92
107/09/17,16,216,13.6,13.6,13.35,13.4,-0.2,19
107/09/18,44,582,13.4,13.4,13.1,13.2,-0.2,35
107/09/19,50,660,13.15,13.4,13.15,13.25,0.05,36
107/09/20,32,421,13.25,13.3,13.1,13.25,0.0,21
107/09/21,39,512,13.15,13.2,13.05,13.15,-0.1,24
107/09/25,77,"1,011",13.1,13.2,13.0,13.2,0.05,37
107/09/26,19,250,13.15,13.2,13.1,13.2,0.0,13
107/09/27,10,132,13.2,13.3,13.15,13.15,-0.05,10
107/09/28,26,340,13.15,13.3,13.1,13.15,0.0,20
107/10/01,21,282,13.15,13.35,13.15,13.35,0.2,15
107/10/02,27,358,13.4,13.4,13.2,13.25,-0.1,10
107/10/03,219,"2,997",13.55,13.95,13.4,13.6,0.35,135
107/10/04,53,714,13.55,13.6,13.4,13.5,-0.1,31
