date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,373","357,534",251.0,267.0,249.5,261.5,12.5,"1,161"
107/07/03,867,"224,319",261.0,264.5,256.0,260.0,-1.5,791
107/07/04,"1,060","280,892",261.0,270.0,260.0,261.5,1.5,928
107/07/05,551,"141,247",260.0,262.5,252.0,252.5,-9.0,490
107/07/06,495,"124,391",255.5,256.5,245.5,256.5,4.0,437
107/07/09,"1,050","271,076",265.5,266.0,250.0,250.5,-6.0,969
107/07/10,648,"161,162",253.5,254.0,245.0,248.0,-2.5,610
107/07/11,679,"167,235",245.5,253.0,241.5,243.0,-5.0,623
107/07/12,602,"146,862",242.0,246.5,240.5,246.5,3.5,521
107/07/13,532,"132,610",250.0,251.0,247.0,249.0,2.5,494
107/07/16,708,"180,416",250.5,258.0,249.0,253.5,4.5,613
107/07/17,453,"114,356",255.0,257.0,250.0,251.0,-2.5,429
107/07/18,685,"175,022",253.0,260.0,251.5,253.5,2.5,617
107/07/19,684,"171,633",253.5,255.5,247.5,249.0,-4.5,553
107/07/20,541,"134,031",249.0,252.0,243.0,245.5,-3.5,459
107/07/23,849,"201,268",248.0,248.0,233.0,236.0,-9.5,749
107/07/24,626,"148,419",236.0,243.0,233.0,243.0,7.0,587
107/07/25,420,"101,008",242.5,244.5,238.0,238.0,-5.0,393
107/07/26,327,"78,957",240.0,245.0,239.5,241.5,3.5,293
107/07/27,359,"87,460",242.0,245.0,241.5,245.0,3.5,339
107/07/30,438,"105,513",243.5,246.5,238.5,238.5,-6.5,402
107/07/31,738,"177,032",241.0,242.5,235.0,242.5,4.0,575
107/08/01,382,"93,087",242.0,247.5,241.5,241.5,-1.0,349
107/08/02,306,"73,075",242.0,242.5,237.0,237.0,-4.5,276
107/08/03,223,"53,408",240.5,241.5,237.5,238.5,1.5,209
107/08/06,387,"93,215",239.0,244.0,238.5,238.5,0.0,345
107/08/07,773,"181,016",238.5,238.5,232.5,233.0,-5.5,659
107/08/08,"1,056","242,122",233.5,235.5,228.0,228.0,-5.0,873
107/08/09,"2,503","526,458",220.5,220.5,205.5,208.0,-20.0,"2,080"
107/08/10,"1,789","359,410",208.0,208.0,198.0,199.0,-9.0,"1,497"
107/08/13,"1,214","232,809",193.5,196.5,184.0,190.5,-1.5,979
107/08/14,453,"88,058",194.0,198.0,191.0,196.5,6.0,430
107/08/15,406,"79,448",196.5,199.5,192.5,197.5,1.0,358
107/08/16,577,"111,958",195.5,197.5,191.0,194.0,-3.5,501
107/08/17,412,"81,404",196.0,199.5,195.5,198.0,4.0,342
107/08/20,635,"124,255",200.0,200.0,194.0,194.0,-4.0,492
107/08/21,359,"70,292",196.0,197.5,194.5,195.0,1.0,298
107/08/22,173,"33,757",195.0,196.0,194.0,195.0,0.0,147
107/08/23,254,"49,928",195.0,198.0,194.5,196.5,1.5,229
107/08/24,286,"55,403",197.0,197.0,192.0,192.5,-4.0,211
107/08/27,327,"64,103",193.0,198.5,191.5,195.5,3.0,285
107/08/28,970,"198,238",195.5,208.5,195.5,205.5,10.0,836
107/08/29,584,"120,720",204.5,212.0,203.0,208.5,3.0,535
107/08/30,349,"71,979",207.5,208.0,205.0,206.5,-2.0,304
107/08/31,"1,604","338,381",212.0,215.5,206.0,207.0,0.5,"1,328"
107/09/03,"1,001","208,821",210.0,214.0,204.0,204.5,-2.5,850
107/09/04,329,"67,842",205.0,210.0,203.0,209.0,4.5,307
107/09/05,300,"62,823",211.5,211.5,208.0,208.0,-1.0,255
107/09/06,656,"132,998",206.5,207.0,200.0,200.0,-8.0,593
107/09/07,808,"165,571",206.5,208.5,201.0,204.5,4.5,744
107/09/10,589,"118,956",205.0,205.5,198.0,203.5,-1.0,539
107/09/11,382,"76,781",201.0,203.0,199.5,201.0,-2.5,313
107/09/12,868,"169,758",201.5,204.0,192.0,194.0,-7.0,742
107/09/13,339,"67,139",197.0,200.0,196.0,196.5,2.5,310
107/09/14,327,"65,907",199.0,204.5,199.0,203.5,7.0,306
107/09/17,310,"62,020",201.0,202.5,198.0,198.5,-5.0,272
107/09/18,236,"46,351",198.0,199.0,195.0,196.0,-2.5,216
107/09/19,172,"34,318",197.5,201.0,197.0,198.5,2.5,165
107/09/20,249,"49,468",199.0,203.0,196.0,196.0,-2.5,227
107/09/21,242,"47,631",197.0,198.5,195.0,196.0,0.0,187
107/09/25,582,"117,846",196.0,205.0,195.0,203.0,7.0,500
107/09/26,207,"41,633",201.5,203.0,199.0,201.0,-2.0,195
107/09/27,149,"29,915",201.0,202.5,199.0,199.5,-1.5,142
107/09/28,187,"37,201",200.0,201.0,198.0,200.5,1.0,176
107/10/01,229,"46,533",201.0,205.0,200.0,204.5,4.0,205
107/10/02,276,"55,446",202.5,203.0,200.0,200.5,-4.0,233
107/10/03,481,"94,716",200.0,200.0,194.0,194.5,-6.0,435
107/10/04,414,"80,445",194.0,197.5,191.5,197.0,2.5,350
107/10/05,726,"139,395",197.0,199.0,184.0,188.5,-8.5,582
107/10/08,927,"167,495",185.5,188.5,176.0,176.0,-12.5,754
107/10/09,444,"79,561",178.5,182.5,177.5,178.5,2.5,387
107/10/11,"1,161","188,787",168.0,168.0,161.0,161.0,-17.5,911
107/10/12,536,"90,169",163.0,177.0,161.0,174.0,13.0,484
107/10/15,282,"49,496",171.0,178.0,170.5,175.5,1.5,255
107/10/16,205,"36,138",175.5,179.0,174.0,174.5,-1.0,186
107/10/17,327,"58,853",178.0,183.0,177.0,179.5,5.0,307
107/10/18,145,"25,869",177.0,179.5,176.5,177.5,-2.0,126
107/10/19,171,"29,942",175.0,177.0,173.0,176.5,-1.0,163
107/10/22,81,"14,570",177.0,180.5,176.5,178.0,1.5,85
107/10/23,111,"19,606",178.0,179.5,174.5,174.5,-3.5,107
107/10/24,225,"39,814",175.5,180.0,173.0,179.0,4.5,209
107/10/25,406,"71,110",172.5,179.0,172.5,175.5,-3.5,357
107/10/26,430,"74,115",178.0,179.0,169.0,169.0,-6.5,378
107/10/29,194,"32,960",171.5,173.0,166.0,172.0,3.0,193
107/10/30,193,"33,230",172.5,175.5,169.5,174.0,2.0,175
107/10/31,387,"68,809",176.0,180.5,176.0,176.0,2.0,363
107/11/01,172,"30,595",176.0,180.0,176.0,178.5,2.5,169
107/11/02,233,"41,607",179.5,182.0,178.0,178.0,-0.5,223
107/11/05,190,"33,993",178.0,181.0,177.0,178.5,0.5,182
107/11/06,169,"29,839",180.0,181.0,173.0,173.5,-5.0,171
107/11/07,124,"21,806",175.0,177.0,174.5,176.0,2.5,121
107/11/08,"2,091","399,238",182.0,193.5,182.0,193.5,17.5,"1,424"
107/11/09,"1,073","205,638",193.5,195.0,188.0,192.5,-1.0,912
107/11/12,253,"48,650",193.0,194.0,190.0,193.0,0.5,246
107/11/13,319,"61,215",190.0,194.0,190.0,194.0,1.0,296
107/11/14,567,"110,724",195.0,198.5,191.0,194.0,0.0,507
107/11/15,212,"40,984",195.0,195.0,191.5,193.0,-1.0,202
107/11/16,281,"55,051",194.0,198.0,193.5,195.0,2.0,265
107/11/19,"3,088","653,384",207.0,214.5,205.0,214.0,19.0,"1,911"
107/11/20,"1,431","308,068",213.0,222.5,210.5,220.0,6.0,"1,194"
107/11/21,709,"155,599",216.5,222.0,216.5,220.0,0.0,567
107/11/22,551,"120,692",224.0,224.0,216.5,218.0,-2.0,501
107/11/23,318,"67,898",218.0,220.0,211.0,211.0,-7.0,316
107/11/26,273,"59,380",216.5,220.5,215.5,215.5,4.5,267
107/11/27,275,"60,074",216.0,220.0,216.0,218.5,3.0,256
107/11/28,323,"70,801",222.0,222.0,217.0,218.5,0.0,269
107/11/29,"1,198","270,157",220.0,233.0,219.0,224.0,5.5,"1,057"
107/11/30,316,"70,455",222.0,227.0,221.5,222.0,-2.0,297
107/12/03,846,"193,235",224.0,231.0,224.0,229.0,7.0,616
107/12/04,327,"74,354",228.0,229.0,225.0,227.0,-2.0,310
