date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,192,"27,787",141.00,146.50,141.00,145.00,6.0,158
107/07/03,185,"26,876",146.00,147.50,143.50,145.00,0.0,162
107/07/04,244,"29,880",127.00,127.50,118.00,119.50,-7.0,204
107/07/05,123,"14,627",119.50,121.00,117.50,118.00,-1.5,102
107/07/06,93,"10,800",118.00,118.50,114.50,118.00,0.0,95
107/07/09,77,"9,345",121.00,124.00,117.00,123.00,5.0,82
107/07/10,58,"7,101",124.00,124.00,121.00,121.00,-2.0,59
107/07/11,81,"9,601",120.50,120.50,116.50,116.50,-4.5,73
107/07/12,23,"2,652",116.50,119.50,116.50,119.00,2.5,27
107/07/13,43,"5,184",120.00,122.00,119.00,120.00,1.0,40
107/07/16,80,"9,765",121.50,123.50,120.00,122.00,2.0,61
107/07/17,17,"2,063",121.00,121.50,120.00,120.50,-1.5,16
107/07/18,29,"3,552",121.00,123.00,121.00,121.50,1.0,32
107/07/19,11,"1,373",123.00,123.00,122.00,123.00,1.5,17
107/07/20,28,"3,404",123.00,123.00,121.00,121.00,-2.0,18
107/07/23,33,"3,951",120.00,120.50,119.00,119.00,-2.0,31
107/07/24,39,"4,709",120.50,120.50,119.00,119.00,0.0,38
107/07/25,23,"2,744",119.50,120.00,118.50,118.50,-0.5,22
107/07/26,16,"1,929",120.00,121.00,118.50,120.00,1.5,18
107/07/27,41,"4,997",121.00,122.50,120.50,121.50,1.5,41
107/07/30,18,"2,217",121.50,121.50,119.50,120.50,-1.0,23
107/07/31,15,"1,815",120.00,120.50,119.50,120.50,0.0,20
107/08/01,30,"3,645",121.00,121.50,120.00,120.50,0.0,32
107/08/02,45,"5,387",121.00,121.00,118.50,118.50,-2.0,44
107/08/03,27,"3,224",120.00,120.50,118.50,120.50,2.0,28
107/08/06,16,"1,944",122.00,122.00,120.00,121.50,1.0,20
107/08/07,18,"2,154",121.00,121.50,120.00,120.50,-1.0,24
107/08/08,39,"4,766",121.50,122.50,120.50,122.50,2.0,41
107/08/09,122,"15,234",123.50,125.50,123.00,124.50,2.0,119
107/08/10,138,"17,679",125.50,130.50,125.50,129.50,5.0,132
107/08/13,152,"18,661",128.50,128.50,119.00,120.50,-9.0,149
107/08/14,40,"4,886",121.50,122.00,120.50,121.00,0.5,44
107/08/15,57,"6,774",120.50,120.50,118.00,118.00,-3.0,45
107/08/16,27,"3,235",119.00,120.00,117.00,119.50,1.5,28
107/08/17,13,"1,586",120.50,121.00,120.00,121.00,1.5,15
107/08/20,48,"5,759",122.00,122.00,118.50,119.00,-2.0,33
107/08/21,21,"2,526",119.00,121.00,118.50,120.50,1.5,19
107/08/22,12,"1,444",121.00,121.00,119.50,119.50,-1.0,12
107/08/23,14,"1,610",119.50,119.50,118.50,118.50,-1.0,16
107/08/24,78,"9,140",118.50,118.50,115.50,116.00,-2.5,104
107/08/27,29,"3,380",116.00,119.50,116.00,118.50,2.5,42
107/08/28,17,"2,020",119.00,120.00,118.00,118.50,0.0,24
107/08/29,16,"1,965",119.00,120.50,119.00,119.50,1.0,25
107/08/30,23,"2,744",119.00,119.50,118.00,118.00,-1.5,27
107/08/31,12,"1,391",119.50,119.50,118.50,118.50,0.5,21
107/09/03,25,"2,988",119.00,119.00,117.50,118.50,0.0,24
107/09/04,17,"2,049",117.50,118.50,117.50,118.50,0.0,21
107/09/05,27,"3,218",118.50,120.00,118.50,119.50,1.0,35
107/09/06,23,"2,735",119.50,119.50,117.50,119.50,0.0,21
107/09/07,38,"4,538",119.50,119.50,117.00,118.00,-1.5,43
107/09/10,43,"5,026",118.50,118.50,115.00,116.50,-1.5,45
107/09/11,17,"1,992",116.50,117.50,116.00,116.00,-0.5,19
107/09/12,29,"3,372",116.00,118.50,116.00,118.50,2.5,31
107/09/13,16,"1,902",119.00,119.00,118.00,118.00,-0.5,17
107/09/14,28,"3,328",119.50,121.00,118.00,119.00,1.0,31
107/09/17,12,"1,430",119.00,119.00,118.00,118.00,-1.0,13
107/09/18,13,"1,562",119.00,119.00,118.00,118.00,0.0,15
107/09/19,14,"1,731",119.50,120.50,119.50,120.00,2.0,20
107/09/20,19,"2,268",120.00,120.00,117.50,118.50,-1.5,20
107/09/21,16,"1,952",119.00,119.50,118.50,119.00,0.5,22
107/09/25,125,"15,307",119.50,125.00,119.50,124.00,5.0,120
107/09/26,143,"18,264",125.00,129.50,125.00,128.00,4.0,143
107/09/27,67,"8,454",129.00,129.00,125.00,125.00,-3.0,65
107/09/28,60,"7,601",124.50,128.50,124.50,125.50,0.5,59
107/10/01,38,"4,808",126.00,127.00,125.00,125.50,0.0,42
107/10/02,19,"2,309",125.50,125.50,124.00,124.50,-1.0,22
107/10/03,43,"5,395",125.00,127.00,125.00,126.00,1.5,44
107/10/04,22,"2,795",126.00,126.00,124.50,124.50,-1.5,28
107/10/05,124,"14,752",125.00,125.00,114.00,120.00,-4.5,127
107/10/08,19,"2,285",118.00,120.50,118.00,119.00,-1.0,15
107/10/09,23,"2,676",119.00,120.50,118.00,118.00,-1.0,25
107/10/11,93,"10,331",113.50,113.50,109.00,109.50,-8.5,86
107/10/12,33,"3,686",109.50,114.00,109.50,112.50,3.0,39
107/10/15,14,"1,566",112.00,114.00,112.00,113.50,1.0,20
107/10/16,20,"2,317",114.00,114.00,112.50,113.00,-0.5,24
107/10/17,62,"7,264",123.00,123.00,115.00,115.00,2.0,61
107/10/18,6,699,116.00,116.00,115.00,116.00,1.0,7
107/10/19,14,"1,568",114.00,115.00,114.00,114.50,-1.5,15
107/10/22,7,860,116.00,116.00,116.00,116.00,1.5,10
107/10/23,12,"1,416",116.00,116.00,114.00,114.50,-1.5,15
107/10/24,23,"2,673",118.00,118.00,114.50,114.50,0.0,24
107/10/25,22,"2,509",112.00,114.50,111.00,112.50,-2.0,28
