date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,24,"1,213",50.90,50.90,50.40,50.40,-0.3,22
107/07/03,26,"1,304",50.30,51.00,49.90,51.00,0.6,24
107/07/04,7,352,51.00,51.00,50.00,50.00,-1.0,9
107/07/05,26,"1,289",49.30,49.70,49.30,49.40,-0.6,25
107/07/06,21,"1,056",49.50,51.70,49.30,51.70,2.3,21
107/07/09,10,515,52.10,52.10,51.00,51.00,-0.7,12
107/07/10,11,562,51.20,51.20,50.90,50.90,-0.1,11
107/07/11,8,407,50.90,51.00,50.70,51.00,0.1,7
107/07/12,16,807,50.50,50.90,50.30,50.80,-0.2,16
107/07/13,5,253,50.60,50.60,50.50,50.50,-0.3,6
107/07/16,14,701,50.20,50.20,50.00,50.00,-0.5,14
107/07/17,8,399,49.50,50.00,49.50,50.00,0.0,5
107/07/18,4,210,50.00,50.00,49.85,50.00,0.0,5
107/07/19,13,650,49.70,50.50,49.60,50.50,0.5,16
107/07/20,5,259,50.50,50.50,49.85,49.85,-0.65,9
107/07/23,11,546,49.85,50.30,49.50,49.70,-0.15,10
107/07/24,15,753,49.50,51.00,49.50,50.30,0.6,14
107/07/25,18,901,50.30,50.30,50.00,50.00,-0.3,14
107/07/26,20,998,49.70,50.30,49.70,50.30,0.3,19
107/07/27,11,556,49.70,50.50,49.70,50.50,0.2,11
107/07/30,16,800,50.10,50.10,49.95,49.95,-0.55,12
107/07/31,14,704,50.30,50.60,50.00,50.40,0.45,13
107/08/01,28,"1,430",50.10,51.50,50.10,51.50,1.1,24
107/08/02,41,"2,088",50.90,51.50,50.10,50.60,-0.9,39
107/08/03,11,553,50.20,50.70,50.10,50.70,0.1,9
107/08/06,27,"1,391",50.10,51.60,50.10,51.00,0.3,28
107/08/07,15,776,50.60,52.00,50.60,51.80,0.8,15
107/08/08,169,"9,106",52.10,55.00,52.10,53.70,1.9,125
107/08/09,40,"2,116",53.10,53.20,52.60,52.70,-1.0,34
107/08/10,34,"1,801",52.70,52.90,52.20,52.50,-0.2,31
107/08/13,89,"4,516",52.50,52.50,50.00,50.60,-1.9,72
107/08/14,34,"1,752",51.50,52.50,51.00,51.40,0.8,34
107/08/15,31,"1,606",52.50,52.50,51.40,51.80,0.4,30
107/08/16,56,"2,834",52.50,52.50,50.00,50.50,-1.3,53
107/08/17,32,"1,647",51.40,52.40,51.00,51.10,0.6,32
107/08/20,52,"2,725",52.20,53.80,51.30,52.60,1.5,41
107/08/21,19,"1,004",52.60,53.10,52.00,52.50,-0.1,16
107/08/22,21,"1,092",52.50,52.50,51.30,51.50,-1.0,19
107/08/23,44,"2,322",51.50,54.00,51.50,53.00,1.5,40
107/08/24,113,"6,143",54.90,55.40,53.60,53.60,0.6,105
107/08/27,72,"3,887",53.80,54.80,53.50,54.00,0.4,68
107/08/28,87,"4,769",54.10,55.10,54.10,54.70,0.7,83
107/08/29,47,"2,593",54.90,55.70,54.90,55.10,0.4,46
107/08/30,34,"1,857",55.10,55.10,54.30,54.70,-0.4,33
107/08/31,23,"1,247",54.60,54.60,54.00,54.00,-0.7,23
107/09/03,43,"2,326",54.20,54.50,53.80,54.50,0.5,42
107/09/04,40,"2,205",54.80,55.40,54.80,55.00,0.5,34
107/09/05,83,"4,525",54.90,55.20,53.30,54.20,-0.8,72
107/09/06,67,"3,623",54.30,54.60,53.90,54.60,0.4,45
107/09/07,87,"4,684",54.60,54.60,53.10,53.60,-1.0,67
107/09/10,62,"3,278",53.60,53.70,51.90,52.00,-1.6,56
107/09/11,28,"1,458",52.00,52.10,52.00,52.00,0.0,28
107/09/12,11,572,52.00,52.00,51.90,51.90,-0.1,13
107/09/13,19,986,51.90,52.10,51.80,51.80,-0.1,21
107/09/14,12,630,51.80,53.20,51.80,52.60,0.8,14
107/09/17,9,476,52.60,53.10,52.60,53.10,0.5,10
107/09/18,14,738,53.00,53.00,52.40,52.50,-0.6,14
107/09/19,33,"1,735",52.60,52.70,52.30,52.40,-0.1,25
107/09/20,9,471,52.40,52.40,52.20,52.20,-0.2,9
107/09/21,13,681,52.20,53.00,52.20,52.30,0.1,14
107/09/25,18,946,52.30,52.40,52.00,52.30,0.0,17
107/09/26,9,470,52.30,52.40,52.20,52.20,-0.1,9
107/09/27,21,"1,107",52.20,53.20,52.20,52.50,0.3,17
107/09/28,14,734,52.50,52.50,52.30,52.40,-0.1,12
107/10/01,11,581,52.40,53.50,52.40,53.30,0.9,11
107/10/02,18,957,53.20,53.20,52.60,52.60,-0.7,19
107/10/03,38,"2,000",53.00,53.00,52.20,52.70,0.1,32
107/10/04,35,"1,823",52.60,52.60,51.90,51.90,-0.8,33
107/10/05,56,"2,840",51.90,51.90,50.00,51.00,-0.9,55
107/10/08,18,911,50.60,51.50,50.30,50.60,-0.4,18
107/10/09,49,"2,451",50.40,50.40,49.60,49.90,-0.7,47
107/10/11,180,"8,258",49.15,49.15,44.95,45.00,-4.9,159
107/10/12,111,"4,508",40.50,41.85,40.00,40.85,-0.05,103
107/10/15,23,955,41.00,41.75,41.00,41.70,0.85,24
107/10/16,12,503,41.90,42.00,41.75,42.00,0.3,10
107/10/17,57,"2,438",43.00,43.00,42.30,42.75,0.75,37
107/10/18,42,"1,758",42.50,42.50,41.10,41.20,-1.55,34
107/10/19,54,"2,172",40.15,40.40,40.00,40.35,-0.85,47
107/10/22,41,"1,644",40.00,40.50,39.90,40.40,0.05,41
107/10/23,35,"1,402",40.35,40.35,39.90,39.90,-0.5,33
107/10/24,62,"2,434",39.90,39.90,39.05,39.50,-0.4,52
107/10/25,77,"2,865",38.95,38.95,36.25,37.50,-2.0,71
107/10/26,61,"2,316",37.50,39.00,37.20,37.45,-0.05,48
107/10/29,31,"1,158",37.50,38.00,37.05,37.40,-0.05,22
107/10/30,22,831,37.30,37.90,37.30,37.90,0.5,16
107/10/31,22,840,38.00,38.50,38.00,38.05,0.15,22
107/11/01,25,954,38.05,38.50,37.90,38.15,0.1,26
107/11/02,20,768,38.15,38.35,38.10,38.35,0.2,21
107/11/05,21,801,38.00,38.00,37.85,38.00,-0.35,18
107/11/06,17,646,38.00,38.10,37.90,37.90,-0.1,17
107/11/07,19,722,37.90,38.05,37.90,38.00,0.1,19
107/11/08,57,"2,177",39.00,39.00,38.10,38.10,0.1,59
107/11/09,52,"1,976",38.10,38.50,37.80,38.00,-0.1,38
107/11/12,29,"1,102",38.00,38.10,37.90,38.10,0.1,29
107/11/13,19,721,37.90,38.00,37.90,38.00,-0.1,17
107/11/14,33,"1,254",38.00,38.10,37.85,37.85,-0.15,31
107/11/15,42,"1,613",38.00,38.00,37.90,38.00,0.15,38
107/11/16,36,"1,374",38.00,38.00,37.80,37.80,-0.2,28
107/11/19,17,650,37.80,38.00,37.80,37.80,0.0,18
107/11/20,5,189,37.95,37.95,37.80,37.80,0.0,5
107/11/21,49,"1,862",37.75,38.25,37.70,38.00,0.2,39
107/11/22,24,912,38.00,38.00,37.90,37.90,-0.1,25
107/11/23,30,"1,139",37.95,38.00,37.90,37.90,0.0,22
107/11/26,30,"1,141",38.00,38.30,37.90,37.90,0.0,29
107/11/27,21,794,37.90,38.00,37.55,37.95,0.05,18
107/11/28,30,"1,157",38.00,38.80,37.90,38.80,0.85,37
107/11/29,44,"1,696",38.90,38.90,38.20,38.20,-0.6,43
107/11/30,29,"1,106",38.05,38.25,38.05,38.20,0.0,28
107/12/03,79,"3,079",38.40,39.35,38.30,39.35,1.15,71
107/12/04,59,"2,313",39.25,39.50,38.70,39.35,0.0,52
107/12/05,53,"2,067",38.95,39.50,38.70,39.20,-0.15,49
107/12/06,217,"8,965",39.50,43.10,39.50,40.60,1.4,198
107/12/07,171,"7,260",41.90,44.50,41.55,43.45,2.85,164
107/12/10,119,"5,247",43.50,44.80,43.50,43.80,0.35,113
107/12/11,97,"4,159",43.80,43.80,42.35,42.70,-1.1,88
107/12/12,58,"2,489",42.55,43.00,42.45,42.90,0.2,85
107/12/13,67,"2,839",42.90,42.90,42.15,42.60,-0.3,71
107/12/14,43,"1,846",42.50,44.25,42.20,42.80,0.2,51
107/12/17,47,"2,026",42.80,43.75,42.75,43.15,0.35,53
107/12/18,39,"1,677",43.15,43.15,42.75,42.90,-0.25,48
107/12/19,35,"1,513",43.00,43.50,42.90,43.10,0.2,41
107/12/20,24,"1,015",43.20,43.30,43.00,43.30,0.2,19
107/12/21,45,"1,978",44.00,44.30,43.55,44.00,0.7,42
107/12/22,72,"3,253",44.00,46.10,44.00,45.10,1.1,77
107/12/24,25,"1,123",45.70,45.85,45.35,45.60,0.5,30
107/12/25,31,"1,394",45.30,45.30,44.50,45.15,-0.45,33
107/12/26,12,543,46.60,46.60,45.20,45.65,0.5,17
107/12/27,38,"1,737",45.65,46.00,45.45,45.45,-0.2,28
107/12/28,20,916,45.40,45.95,45.40,45.80,0.35,19
108/01/02,16,734,45.95,46.00,45.80,46.00,0.2,19
108/01/03,23,"1,063",46.10,46.55,46.10,46.30,0.3,28
108/01/04,34,"1,595",46.30,46.75,46.05,46.60,0.3,30
108/01/07,20,916,46.95,46.95,46.60,46.85,0.25,20
108/01/08,48,"2,284",46.85,47.50,46.85,47.20,0.35,49
108/01/09,77,"3,745",47.90,49.10,47.90,48.80,1.6,83
108/01/10,44,"2,126",49.00,49.05,48.15,48.50,-0.3,47
108/01/11,60,"2,881",49.15,49.15,47.50,47.50,-1.0,46
108/01/14,20,928,47.60,47.70,47.50,47.70,0.2,21
108/01/15,70,"3,341",47.80,48.25,47.05,48.00,0.3,37
108/01/16,25,"1,195",48.00,48.00,47.40,47.40,-0.6,24
108/01/17,43,"2,002",47.40,47.40,46.70,46.70,-0.7,42
108/01/18,19,912,46.70,47.80,46.70,47.45,0.75,23
108/01/21,18,859,47.50,48.40,46.90,47.10,-0.35,20
108/01/22,11,520,47.20,47.20,46.70,46.85,-0.25,13
108/01/23,19,911,47.00,47.40,46.75,46.75,-0.1,19
108/01/24,60,"2,740",46.90,46.90,45.50,46.00,-0.75,60
108/01/25,42,"1,901",46.00,46.00,44.95,45.50,-0.5,38
108/01/28,13,593,45.50,46.00,45.40,45.50,0.0,20
108/01/29,36,"1,593",45.00,45.00,43.50,44.30,-1.2,36
108/01/30,14,639,45.05,45.05,44.30,44.60,0.3,20
108/02/11,17,769,45.20,45.25,44.75,45.05,0.45,18
108/02/12,17,770,45.10,45.50,45.10,45.50,0.45,16
108/02/13,22,993,45.50,45.50,45.00,45.00,-0.5,20
108/02/14,7,321,45.10,45.30,45.10,45.30,0.3,8
108/02/15,7,312,45.30,45.55,45.00,45.55,0.25,9
108/02/18,51,"2,250",44.80,44.90,43.50,44.10,-1.45,49
108/02/19,14,636,44.10,44.85,44.10,44.50,0.4,16
108/02/20,21,943,44.50,44.55,44.30,44.35,-0.15,21
108/02/21,18,817,44.35,44.50,44.25,44.50,0.15,22
108/02/22,27,"1,194",44.50,44.50,43.75,44.20,-0.3,30
108/02/25,14,629,44.00,44.00,43.85,43.95,-0.25,17
108/02/26,7,286,44.00,44.10,44.00,44.10,0.15,8
108/02/27,10,445,44.00,44.00,43.90,43.95,-0.15,16
108/03/04,29,"1,289",44.60,45.00,44.55,44.65,0.7,33
108/03/05,13,590,44.75,44.75,44.70,44.70,0.05,11
108/03/06,13,598,45.20,45.30,44.80,44.80,0.1,12
108/03/07,23,"1,002",44.10,44.75,44.10,44.60,-0.2,23
108/03/08,16,715,44.60,44.60,43.85,44.20,-0.4,18
108/03/11,22,972,43.60,43.90,43.55,43.90,-0.3,23
108/03/12,26,"1,155",44.00,44.50,43.95,44.00,0.1,24
108/03/13,22,967,44.20,44.20,43.55,43.90,-0.1,18
108/03/14,49,"2,105",43.60,43.60,42.75,42.75,-1.15,52
108/03/15,31,"1,308",42.80,42.85,42.50,42.70,-0.05,29
108/03/18,22,946,42.60,42.70,42.50,42.70,0.0,20
108/03/19,32,"1,341",42.70,42.70,41.55,41.55,-1.15,22
108/03/20,27,"1,124",41.70,41.70,41.55,41.70,0.15,23
108/03/21,26,"1,093",41.75,42.05,41.50,42.05,0.35,24
108/03/22,80,"3,253",41.60,41.60,40.50,40.75,-1.3,76
108/03/25,12,500,40.50,40.70,40.50,40.65,-0.1,16
108/03/26,53,"2,146",40.65,40.65,40.00,40.10,-0.55,51
108/03/27,40,"1,598",40.10,40.95,40.00,40.75,0.65,34
108/03/28,13,512,41.15,41.15,40.50,40.70,-0.05,15
108/03/29,16,632,40.70,40.70,40.50,40.50,-0.2,15
108/04/01,18,722,41.15,41.15,40.50,40.50,0.0,21
108/04/02,21,830,40.60,40.60,40.10,40.20,-0.3,27
108/04/03,27,"1,099",40.20,40.50,40.10,40.50,0.3,21
108/04/08,14,575,41.10,41.10,40.55,40.55,0.05,14
108/04/09,6,265,41.00,41.00,41.00,41.00,0.45,10
108/04/10,26,"1,076",41.00,41.50,41.00,41.35,0.35,24
108/04/11,18,734,41.00,41.00,40.20,40.80,-0.55,15
108/04/12,7,275,40.85,40.85,40.50,40.50,-0.3,11
108/04/15,14,566,40.20,40.80,40.20,40.75,0.25,12
108/04/16,33,"1,326",40.25,40.30,40.00,40.05,-0.7,32
108/04/17,6,249,40.20,40.40,40.15,40.40,0.35,8
108/04/18,9,345,40.40,40.65,40.25,40.60,0.2,11
108/04/19,13,536,40.75,40.75,40.45,40.75,0.15,16
108/04/22,15,614,40.80,40.80,40.00,40.60,-0.15,17
108/04/23,10,405,41.00,41.00,40.10,40.75,0.15,10
108/04/24,13,505,40.60,40.60,40.00,40.00,-0.75,15
108/04/25,5,189,40.40,40.40,40.20,40.20,0.2,10
108/04/26,3,121,40.25,40.25,40.20,40.20,0.0,3
108/04/29,19,764,40.25,40.25,40.20,40.20,0.0,12
108/04/30,15,614,40.20,40.40,39.90,39.90,-0.3,17
108/05/02,56,"2,303",40.10,41.50,40.00,41.35,1.45,53
108/05/03,24,"1,011",41.60,41.65,41.00,41.50,0.15,23
108/05/06,13,540,41.50,42.65,41.10,41.55,0.05,13
108/05/07,21,874,41.55,42.00,41.40,41.40,-0.15,16
108/05/08,9,382,41.30,41.30,40.95,41.00,-0.4,12
108/05/09,7,285,41.90,41.90,40.40,40.80,-0.2,8
108/05/10,8,334,40.30,40.35,40.05,40.20,-0.6,9
108/05/13,26,"1,008",40.00,40.00,39.00,39.50,-0.7,29
108/05/14,40,"1,568",38.20,40.00,38.20,40.00,0.5,30
108/05/15,4,148,40.85,40.85,39.80,40.00,0.0,8
108/05/16,36,"1,413",38.95,39.65,38.90,38.95,-1.05,34
108/05/17,13,508,38.95,39.50,38.90,39.50,0.55,12
108/05/20,10,402,39.50,39.50,38.95,39.00,-0.5,12
108/05/21,10,396,39.40,39.40,39.00,39.00,0.0,11
108/05/22,23,890,38.95,38.95,38.00,38.20,-0.8,23
108/05/23,21,815,38.20,38.40,38.15,38.30,0.1,23
108/05/24,14,543,38.55,39.00,38.45,38.45,0.15,14
108/05/27,11,409,39.80,39.80,38.20,39.00,0.55,12
108/05/28,25,977,39.00,39.50,38.70,39.00,0.0,11
108/05/29,21,820,38.20,39.45,38.20,39.40,0.4,21
108/05/30,7,278,39.10,39.45,39.10,39.45,0.05,9
108/05/31,18,716,39.65,39.65,39.20,39.50,0.05,13
108/06/03,4,167,39.50,39.80,39.50,39.80,0.3,7
108/06/04,15,590,39.85,39.85,38.90,39.05,-0.75,13
108/06/05,12,477,39.05,39.50,38.90,39.30,0.25,9
108/06/06,0,4,--,--,--,--,0.0,1
108/06/10,1,43,39.30,39.30,39.30,39.30,0.0,2
108/06/11,9,352,39.55,39.55,38.35,39.00,-0.3,10
108/06/12,5,196,38.15,39.20,38.15,39.20,0.2,5
108/06/13,27,"1,066",39.10,39.75,39.05,39.10,-0.1,25
108/06/14,14,548,39.20,39.25,39.00,39.15,0.05,12
108/06/17,18,705,39.65,39.65,39.00,39.15,0.0,18
108/06/18,21,831,39.40,39.45,39.00,39.00,-0.15,16
108/06/19,12,468,39.00,39.00,38.80,38.80,-0.2,11
108/06/20,15,595,39.55,39.55,39.25,39.35,0.55,13
108/06/21,18,707,39.40,39.50,38.90,39.30,-0.05,16
108/06/24,0,0,--,--,--,--,0.0,0
108/06/25,7,255,38.80,39.20,38.80,39.15,-0.1,8
108/06/26,5,202,39.15,39.15,38.80,38.80,-0.35,7
108/06/27,1,45,39.00,39.00,39.00,39.00,0.2,3
108/06/28,6,222,38.80,39.25,38.80,39.20,0.2,7
108/07/01,6,244,39.50,39.50,39.15,39.30,0.10,9
108/07/02,47,"1,853",39.70,39.70,39.10,39.10,-0.20,36
108/07/03,8,317,39.55,39.55,39.10,39.10,0.00,8
108/07/04,13,501,39.35,39.35,38.80,39.25,0.15,17
108/07/05,43,"1,681",39.40,39.75,39.35,39.75,0.50,30
108/07/08,47,"1,895",39.80,40.45,39.80,40.10,0.35,43
108/07/09,64,"2,727",43.95,43.95,41.40,41.60,1.50,65
108/07/10,54,"2,259",43.00,43.00,41.25,41.25,-0.35,52
108/07/11,36,"1,478",41.30,41.60,40.55,40.85,-0.40,33
108/07/12,62,"2,542",41.00,41.50,41.00,41.25,0.40,51
108/07/15,71,"3,002",41.85,42.80,41.70,42.00,0.75,66
108/07/16,171,"7,410",42.05,44.00,42.00,43.20,1.20,125
108/07/17,233,"10,243",43.25,44.50,42.70,43.85,0.65,189
108/07/18,132,"5,681",43.95,43.95,42.25,42.25,-1.60,97
108/07/19,42,"1,803",43.45,43.45,42.25,42.25,0.00,35
108/07/22,24,"1,022",41.90,42.45,41.90,42.10,-0.15,22
108/07/23,16,679,42.45,42.45,41.50,41.90,-0.20,16
108/07/24,30,"1,282",42.45,42.45,41.70,42.15,0.25,30
108/07/25,36,"1,507",41.60,42.10,41.20,41.20,-0.95,37
108/07/26,44,"1,819",41.30,42.20,41.30,41.85,0.65,36
