date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"48,004","2,937,144",61.4,62.4,60.6,60.6, 0.00,39
107/07/03,"145,085","8,617,530",61.6,62.3,57.6,58.0,-2.60,133
107/07/04,"94,440","5,411,954",58.0,58.0,57.0,57.0,-1.00,77
107/07/05,"99,104","5,560,282",57.0,57.3,55.1,55.1,-1.90,79
107/07/06,"85,216","4,730,346",56.4,56.9,54.3,56.5,+1.40,73
107/07/09,"23,000","1,302,800",56.9,57.3,56.1,57.1,+0.60,22
107/07/10,"68,600","3,891,940",57.0,57.8,56.2,56.5,-0.60,59
107/07/11,"173,200","9,411,800",55.0,55.0,53.9,53.9,-2.60,127
107/07/12,"55,000","2,978,500",53.2,54.8,53.2,54.2,+0.30,44
107/07/13,"42,481","2,310,662",54.6,54.6,54.2,54.2, 0.00,38
107/07/16,"49,114","2,655,490",54.2,54.4,53.5,54.3,+0.10,37
107/07/17,"40,000","2,155,800",54.3,54.4,53.6,54.4,+0.10,37
107/07/18,"109,215","6,039,389",54.4,56.9,54.2,55.9,+1.50,92
107/07/19,"62,000","3,411,800",55.8,55.8,54.6,54.6,-1.30,50
107/07/20,"75,050","4,060,110",54.7,54.7,53.7,53.7,-0.90,62
107/07/23,"31,000","1,650,600",53.7,53.7,53.1,53.1,-0.60,29
107/07/24,"48,000","2,570,200",53.5,54.0,53.0,53.6,+0.50,29
107/07/25,"54,069","2,881,098",53.4,53.8,53.0,53.0,-0.60,39
107/07/26,"56,000","2,960,200",53.1,53.9,52.6,52.6,-0.40,56
107/07/27,"55,000","2,925,800",52.6,53.9,52.6,53.8,+1.20,48
107/07/30,"77,000","4,060,900",53.5,53.5,52.4,52.9,-0.90,52
107/07/31,"34,000","1,796,400",52.9,53.2,52.2,52.4,-0.50,32
107/08/01,"27,039","1,420,006",52.6,52.7,52.4,52.5,+0.10,29
107/08/02,"41,044","2,144,376",52.5,52.5,52.0,52.1,-0.40,39
107/08/03,"41,000","2,138,600",52.3,52.4,52.0,52.0,-0.10,41
107/08/06,"36,000","1,880,000",52.0,52.5,52.0,52.1,+0.10,29
107/08/07,"70,000","3,692,000",52.1,53.5,52.1,53.3,+1.20,58
107/08/08,"81,000","4,366,800",53.5,54.7,53.4,53.4,+0.10,73
107/08/09,"41,059","2,188,550",53.2,53.5,53.0,53.5,+0.10,25
107/08/10,"53,000","2,818,200",53.2,53.5,53.0,53.1,-0.40,42
107/08/13,"153,100","7,738,000",52.0,52.0,49.8,50.5,-2.60,127
107/08/14,"48,000","2,410,500",50.2,50.5,50.0,50.5, 0.00,38
107/08/15,"72,000","3,606,700",50.8,50.8,49.8,49.8,-0.70,52
107/08/16,"62,000","3,105,400",49.6,50.8,49.6,50.2,+0.40,42
107/08/17,"52,000","2,597,750",50.3,50.5,49.5,49.5,-0.70,45
107/08/20,"61,070","3,024,590",49.8,50.2,49.0,49.0,-0.50,65
107/08/21,"58,002","2,767,901",48.0,48.6,47.4,47.8,X0.00,49
107/08/22,"101,000","4,750,550",47.8,47.95,46.7,46.7,-1.10,74
107/08/23,"56,259","2,617,324",46.5,46.7,46.35,46.35,-0.35,45
107/08/24,"31,000","1,432,500",46.3,46.3,46.1,46.3,-0.05,26
107/08/27,"22,100","1,037,400",46.3,47.2,46.3,47.0,+0.70,22
107/08/28,"37,000","1,756,300",46.85,48.0,46.85,47.2,+0.20,34
107/08/29,"53,000","2,544,600",47.3,48.5,47.3,47.85,+0.65,46
