date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"22,000","1,011,850",46.00,46.00,45.95,45.95,-0.05,14
107/07/03,"4,000","182,350",45.85,45.85,45.50,45.50,-0.45,3
107/07/04,"6,000","268,200",44.50,45.70,44.50,45.70,+0.20,5
107/07/05,"7,000","316,750",45.50,45.75,45.00,45.75,+0.05,5
107/07/06,"24,000","1,084,150",45.75,45.75,45.00,45.65,-0.10,12
107/07/09,"3,000","137,100",45.65,45.75,45.65,45.75,+0.10,3
107/07/10,"16,000","728,150",46.00,46.00,45.20,45.20,-0.55,8
107/07/11,"5,000","225,300",45.30,45.30,45.00,45.00,-0.20,3
107/07/12,"13,000","584,800",44.80,45.00,44.80,45.00, 0.00,10
107/07/13,"54,000","2,434,900",45.00,45.50,44.50,45.00, 0.00,35
107/07/16,"28,000","1,167,900",42.10,42.30,41.20,42.00,X0.00,25
107/07/17,"12,000","506,150",42.30,42.30,42.00,42.00, 0.00,10
107/07/18,"14,000","597,100",42.00,44.50,42.00,44.50,+2.50,13
107/07/19,"4,000","173,800",43.20,43.90,43.20,43.90,-0.60,3
107/07/20,"4,000","172,250",44.00,44.00,42.75,42.75,-1.15,4
107/07/23,"8,000","340,700",42.30,42.80,42.20,42.80,+0.05,4
107/07/24,"4,000","171,550",42.85,43.00,42.85,43.00,+0.20,4
107/07/25,"11,000","467,100",43.00,43.00,42.00,43.00, 0.00,7
107/07/26,0,0,--,--,--,--, 0.00,0
107/07/27,"2,000","84,850",42.35,42.50,42.35,42.50,X0.00,2
107/07/30,"22,000","934,400",42.30,43.00,42.00,42.60,+0.10,10
107/07/31,"8,000","345,000",43.00,43.50,43.00,43.50,+0.90,6
107/08/01,"7,100","308,900",43.50,43.55,43.50,43.50, 0.00,4
107/08/02,"17,000","736,500",43.50,43.50,43.10,43.20,-0.30,10
107/08/03,"1,000","43,200",43.20,43.20,43.20,43.20, 0.00,1
107/08/06,"8,000","347,450",43.50,43.50,43.20,43.20, 0.00,7
107/08/07,"4,100","177,020",43.20,43.50,42.80,42.80,-0.40,4
107/08/08,"7,000","301,700",42.80,43.50,42.80,43.50,+0.70,4
107/08/09,"1,077","46,818",43.50,43.50,43.50,43.50, 0.00,2
107/08/10,"69,000","2,973,900",43.65,43.75,42.40,43.65,+0.15,43
107/08/13,"22,000","946,300",43.65,43.65,42.50,42.50,-1.15,10
107/08/14,"3,000","127,500",42.50,42.50,42.50,42.50, 0.00,3
107/08/15,"20,000","866,500",43.60,43.60,42.35,43.35,+0.85,17
107/08/16,"5,000","215,100",43.00,43.20,42.70,43.20,-0.15,4
107/08/17,"5,000","215,000",43.00,43.00,43.00,43.00,-0.20,3
107/08/20,"17,000","733,550",42.55,43.45,42.55,43.45,+0.45,13
107/08/21,"9,000","387,950",43.50,43.50,42.80,42.80,-0.65,8
107/08/22,"4,000","170,300",42.55,42.75,42.50,42.75,-0.05,3
107/08/23,"1,000","42,800",42.80,42.80,42.80,42.80,+0.05,1
107/08/24,"1,000","43,300",43.30,43.30,43.30,43.30,+0.50,1
107/08/27,"3,013","129,564",43.00,43.00,43.00,43.00,-0.30,3
107/08/28,"20,000","860,300",43.20,43.40,42.70,42.75,-0.25,13
107/08/29,"10,000","429,700",42.75,43.00,42.75,43.00,+0.25,4
107/08/30,"18,000","775,550",43.15,43.15,43.05,43.10,+0.10,11
107/08/31,"12,000","517,600",43.10,43.20,43.00,43.20,+0.10,10
107/09/03,"9,000","388,800",43.20,43.20,43.20,43.20, 0.00,4
107/09/04,"42,000","1,830,000",43.35,43.90,43.35,43.90,+0.70,29
107/09/05,"62,000","2,748,150",43.90,45.05,43.90,45.05,+1.15,58
107/09/06,"934,101","45,897,697",44.95,49.55,44.95,47.00,+1.95,325
107/09/07,"295,000","13,850,400",46.50,48.10,45.75,47.10,+0.10,189
107/09/10,"123,001","5,811,246",47.20,47.60,47.00,47.00,-0.10,62
107/09/11,"35,100","1,657,060",47.00,47.45,47.00,47.15,+0.15,30
107/09/12,"113,000","5,463,100",48.20,49.00,47.50,48.15,+1.00,77
107/09/13,"104,255","5,113,646",48.45,49.55,48.40,49.55,+1.40,88
107/09/14,"55,239","2,744,525",50.00,50.00,49.00,49.00,-0.55,45
107/09/17,"64,350","3,161,370",48.90,49.50,48.75,49.30,+0.30,38
107/09/18,"33,000","1,633,450",49.30,49.60,49.30,49.50,+0.20,22
107/09/19,"64,300","3,219,650",50.00,50.40,49.50,50.00,+0.50,46
107/09/20,"56,000","2,812,950",49.00,50.80,48.85,49.20,-0.80,22
107/09/21,"14,050","700,425",49.90,50.50,49.25,49.50,+0.30,14
107/09/25,"104,100","5,237,990",50.20,50.60,49.85,50.60,+1.10,47
107/09/26,"7,001","352,949",51.00,51.00,49.65,50.20,-0.40,8
107/09/27,"60,050","3,028,325",49.20,50.80,49.20,50.80,+0.60,22
107/09/28,"10,000","499,500",50.00,50.40,49.80,49.80,-1.00,10
107/10/01,"45,000","2,257,050",48.80,50.40,48.80,50.40,+0.60,29
107/10/02,"73,100","3,717,430",50.40,51.30,50.40,50.80,+0.40,41
107/10/03,"19,100","980,450",51.20,51.80,50.50,50.60,-0.20,14
107/10/04,"29,000","1,464,300",50.60,51.00,50.10,50.40,-0.20,16
107/10/05,"107,050","5,387,270",50.40,51.00,49.05,50.60,+0.20,61
107/10/08,"58,100","2,894,565",49.60,50.60,49.05,49.95,-0.65,34
107/10/09,"6,000","298,650",49.80,49.80,49.65,49.80,-0.15,6
