date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,431,"124,172",295.5,295.5,285.5,285.5,-10.0,400
107/07/03,903,"261,392",286.0,306.0,276.0,300.5,15.0,739
107/07/04,276,"80,301",295.5,298.0,288.0,288.5,-12.0,254
107/07/05,157,"45,578",291.5,295.0,285.0,287.5,-1.0,155
107/07/06,105,"30,181",290.0,292.0,283.5,285.0,-2.5,109
107/07/09,188,"54,317",287.5,292.0,286.0,287.5,2.5,143
107/07/10,983,"295,088",290.0,304.5,290.0,301.0,13.5,814
107/07/11,631,"188,127",300.0,301.5,292.0,297.0,-4.0,533
107/07/12,985,"236,022",243.5,247.5,232.5,235.5,-8.0,829
107/07/13,261,"61,843",239.5,239.5,235.5,235.5,0.0,245
107/07/16,292,"68,025",235.5,239.0,230.5,230.5,-5.0,258
107/07/17,509,"115,777",230.0,232.5,223.0,232.5,2.0,406
107/07/18,192,"44,564",233.0,234.5,229.0,229.0,-3.5,160
107/07/19,467,"104,768",230.5,231.0,221.0,221.0,-8.0,351
107/07/20,243,"54,549",224.0,227.5,222.0,222.5,1.5,209
107/07/23,502,"109,916",222.5,228.0,213.0,223.5,1.0,376
107/07/24,137,"30,181",221.5,224.5,217.5,224.5,1.0,133
107/07/25,163,"37,304",227.0,234.0,224.5,232.0,7.5,158
107/07/26,105,"24,445",232.0,235.5,230.0,232.0,0.0,107
107/07/27,127,"29,366",232.0,234.0,227.0,228.0,-4.0,124
107/07/30,140,"31,158",228.0,228.5,220.0,220.5,-7.5,136
107/07/31,127,"27,785",220.0,222.0,215.5,219.5,-1.0,118
107/08/01,362,"82,891",222.5,233.0,222.5,230.5,11.0,351
107/08/02,174,"39,538",229.0,229.5,225.0,229.5,-1.0,166
107/08/03,169,"38,679",230.0,231.0,225.5,231.0,1.5,149
107/08/06,271,"63,224",232.5,237.5,230.0,231.0,0.0,242
107/08/07,200,"45,873",234.0,234.0,226.0,226.0,-5.0,170
107/08/08,150,"34,002",229.0,230.5,222.5,222.5,-3.5,135
107/08/09,113,"25,398",222.5,226.0,222.5,223.5,1.0,101
107/08/10,134,"29,762",223.5,225.0,219.0,219.0,-4.5,133
107/08/13,391,"82,510",216.0,219.0,202.0,207.5,-11.5,417
107/08/14,293,"60,007",210.0,210.0,202.0,205.5,-2.0,298
107/08/15,475,"95,883",205.5,207.0,196.5,201.0,-4.5,368
107/08/16,916,"171,064",197.5,198.5,181.0,181.0,-20.0,791
107/08/17,"1,223","241,244",190.0,199.0,190.0,199.0,18.0,818
107/08/20,"2,854","595,354",203.5,218.5,200.0,216.5,17.5,"1,713"
107/08/21,"2,576","592,457",218.5,238.0,214.0,237.5,21.0,"1,980"
107/08/22,"1,904","450,102",236.0,245.0,230.0,234.0,-3.5,"1,643"
107/08/23,"1,433","337,166",235.0,241.0,230.5,231.0,-3.0,"1,107"
107/08/24,"2,109","500,618",234.0,240.0,233.5,237.5,6.5,"1,485"
107/08/27,"2,274","568,985",243.5,255.5,243.0,254.0,16.5,"1,822"
107/08/28,"1,629","414,756",254.0,259.5,250.0,255.5,1.5,"1,178"
107/08/29,"1,912","496,166",259.0,264.5,255.0,257.0,1.5,"1,380"
107/08/30,"1,189","297,607",258.0,258.5,244.0,244.5,-12.5,894
107/08/31,"1,987","503,546",248.0,262.0,245.0,259.5,15.0,"1,565"
107/09/03,"1,023","256,046",258.0,258.0,245.0,247.0,-12.5,940
107/09/04,431,"106,919",248.0,251.5,245.0,245.0,-2.0,396
107/09/05,585,"139,601",245.0,245.0,236.5,236.5,-8.5,542
107/09/06,545,"127,382",233.5,236.5,228.0,234.0,-2.5,462
107/09/07,556,"128,483",232.0,233.5,228.0,232.5,-1.5,502
107/09/10,428,"99,969",237.0,237.0,230.0,230.0,-2.5,376
107/09/11,331,"75,938",234.0,234.0,225.5,226.0,-4.0,322
107/09/12,628,"142,926",226.5,231.0,224.5,227.5,1.5,552
107/09/13,492,"109,563",227.5,229.5,219.5,221.5,-6.0,410
107/09/14,258,"57,581",223.0,224.5,220.5,223.5,2.0,229
107/09/17,150,"33,180",222.5,224.0,220.5,220.5,-3.0,141
107/09/18,310,"68,110",221.0,223.0,217.5,220.0,-0.5,255
107/09/19,267,"59,476",222.0,226.0,220.0,221.0,1.0,241
107/09/20,262,"58,210",221.5,224.5,220.5,221.0,0.0,251
107/09/21,141,"31,333",221.0,223.0,220.5,223.0,2.0,124
107/09/25,209,"46,697",223.0,225.0,221.0,224.5,1.5,173
107/09/26,625,"140,046",224.5,229.0,218.0,218.0,-6.5,540
107/09/27,259,"56,499",218.5,220.0,216.5,218.0,0.0,242
107/09/28,95,"20,935",217.5,221.5,217.5,218.0,0.0,101
107/10/01,118,"25,944",218.0,221.0,218.0,218.0,0.0,104
107/10/02,114,"24,864",219.0,219.0,217.0,217.5,-0.5,105
107/10/03,602,"136,195",222.0,232.0,219.0,226.0,8.5,526
107/10/04,590,"134,271",226.5,229.0,225.0,228.0,2.0,484
107/10/05,"1,724","407,104",229.5,244.5,228.0,242.0,14.0,"1,249"
107/10/08,743,"178,407",239.0,244.0,237.5,241.5,-0.5,632
107/10/09,563,"136,668",242.0,250.0,239.0,247.5,6.0,499
107/10/11,"1,872","444,013",240.0,250.0,230.0,247.5,0.0,"1,185"
107/10/12,991,"248,227",247.5,255.0,242.0,250.0,2.5,688
107/10/15,728,"185,741",250.0,259.0,249.5,255.5,5.5,639
107/10/16,782,"196,696",253.0,256.0,245.0,251.0,-4.5,593
107/10/17,"2,038","474,611",251.0,251.5,226.0,226.0,-25.0,"1,646"
107/10/18,"1,300","294,668",226.0,231.0,222.5,230.5,4.5,"1,100"
107/10/19,"1,819","394,025",226.0,228.0,207.5,207.5,-23.0,"1,376"
107/10/22,"2,029","399,615",205.0,205.0,189.5,204.0,-3.5,"1,754"
107/10/23,"1,552","320,201",205.5,211.5,204.0,206.0,2.0,"1,219"
107/10/24,"1,474","311,676",206.0,220.5,206.0,210.5,4.5,"1,289"
