date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,22,138,6.23,6.37,6.20,6.36,0.01,14
107/07/03,37,225,6.28,6.28,6.07,6.15,-0.21,26
107/07/04,26,160,6.10,6.19,6.10,6.19,0.04,13
107/07/05,113,728,6.23,6.80,6.23,6.47,0.28,57
107/07/06,28,178,6.66,6.66,6.25,6.50,0.03,17
107/07/09,42,261,6.50,6.50,6.12,6.12,-0.38,21
107/07/10,70,419,6.12,6.12,5.93,5.94,-0.18,31
107/07/11,24,141,5.73,5.99,5.73,5.99,0.05,14
107/07/12,4,24,5.98,5.98,5.98,5.98,-0.01,4
107/07/13,7,42,6.20,6.20,5.99,6.12,0.14,7
107/07/16,43,271,6.06,6.36,6.06,6.30,0.18,22
107/07/17,32,195,6.10,6.27,6.06,6.27,-0.03,19
107/07/18,30,184,6.20,6.20,6.06,6.18,-0.09,15
107/07/19,2,12,6.10,6.19,6.10,6.19,0.01,2
107/07/20,0,0,--,--,--,--,0.0,0
107/07/23,0,0,--,--,--,--,0.0,0
107/07/24,2,12,6.02,6.21,6.02,6.21,0.02,2
107/07/25,3,19,6.32,6.32,6.13,6.24,0.03,3
107/07/26,0,0,--,--,--,--,0.0,0
107/07/27,3,19,6.07,6.23,6.07,6.22,0.03,3
107/07/30,8,50,6.20,6.22,6.20,6.20,-0.02,7
107/07/31,3,19,6.20,6.20,6.20,6.20,0.0,3
107/08/01,7,44,6.25,6.29,6.21,6.21,0.01,6
107/08/02,20,126,6.25,6.31,6.25,6.30,0.09,15
107/08/03,4,25,6.29,6.30,6.12,6.26,-0.04,4
107/08/06,8,52,6.26,6.32,6.26,6.31,0.05,8
107/08/07,7,44,6.31,6.31,6.25,6.28,-0.03,7
107/08/08,60,416,6.90,6.90,6.90,6.90,0.62,30
107/08/09,56,426,7.59,7.59,7.59,7.59,0.69,37
107/08/10,114,952,8.34,8.34,8.34,8.34,0.75,51
107/08/13,110,"1,009",9.17,9.17,9.17,9.17,0.83,43
107/08/14,749,"7,528",10.05,10.05,10.05,10.05,0.88,184
107/08/15,855,"9,296",11.05,11.05,10.05,11.05,1.0,402
107/08/16,691,"8,285",11.45,12.15,11.45,12.15,1.1,389
107/08/17,726,"8,786",12.95,13.00,10.95,11.20,-0.95,403
107/08/20,357,"3,818",10.60,11.20,10.50,10.80,-0.4,217
107/08/21,207,"2,245",11.00,11.00,10.70,10.70,-0.1,109
107/08/22,128,"1,367",10.70,10.95,10.60,10.80,0.1,69
107/08/23,80,845,10.80,10.80,10.55,10.60,-0.2,56
107/08/24,517,"5,920",10.90,11.65,10.90,11.65,1.05,294
107/08/27,290,"3,207",11.65,11.65,10.60,10.90,-0.75,168
107/08/28,156,"1,734",10.80,11.40,10.80,11.40,0.5,103
107/08/29,397,"4,814",11.50,12.50,11.45,12.50,1.1,219
107/08/30,248,"3,334",13.00,13.75,13.00,13.75,1.25,142
107/08/31,287,"4,338",15.10,15.10,15.10,15.10,1.35,157
107/09/03,795,"13,097",16.60,16.60,15.35,16.60,1.5,364
107/09/04,721,"12,286",17.50,17.55,16.05,16.70,0.1,433
107/09/05,309,"4,879",16.00,16.55,15.30,16.55,-0.15,164
107/09/06,105,"1,723",16.65,16.65,16.00,16.20,-0.35,74
107/09/07,214,"3,566",16.40,16.95,16.40,16.95,0.75,85
107/09/10,211,"3,629",16.90,17.60,16.60,17.60,0.65,101
107/09/11,222,"3,958",17.60,18.00,16.60,17.60,0.0,109
107/09/12,260,"4,398",17.90,17.90,16.30,17.30,-0.3,98
107/09/13,204,"3,451",17.25,17.25,16.70,17.00,-0.3,82
107/09/14,158,"2,687",17.00,17.10,16.60,17.00,0.0,61
107/09/17,284,"4,561",16.15,16.90,15.30,16.00,-1.0,116
107/09/18,211,"3,244",15.00,15.70,15.00,15.70,-0.3,90
107/09/19,723,"10,552",15.50,15.50,14.15,14.60,-1.1,343
107/09/20,405,"5,446",13.25,14.20,13.15,14.00,-0.6,189
107/09/21,356,"5,322",13.50,15.40,13.30,15.40,1.4,207
107/09/25,220,"3,430",15.30,16.00,15.25,15.50,0.1,137
107/09/26,110,"1,639",15.60,15.60,14.50,14.60,-0.9,72
107/09/27,157,"2,356",14.55,15.45,14.40,14.85,0.25,90
107/09/28,40,595,14.90,15.10,14.50,14.50,-0.35,31
107/10/01,89,"1,322",14.80,15.20,14.55,14.60,0.1,42
107/10/02,51,752,15.10,15.10,14.50,14.50,-0.1,33
107/10/03,79,"1,115",14.50,14.50,14.00,14.00,-0.5,44
107/10/04,82,"1,109",14.00,14.00,13.40,13.40,-0.6,41
107/10/05,110,"1,433",13.65,13.65,12.95,13.00,-0.4,68
107/10/08,25,323,13.00,13.20,12.65,13.10,0.1,16
107/10/09,26,338,13.05,13.05,12.80,12.95,-0.15,20
107/10/11,227,"2,742",12.70,12.90,11.70,11.70,-1.25,67
107/10/12,28,333,11.55,12.20,11.55,11.70,0.0,22
107/10/15,35,415,11.70,11.95,11.70,11.70,0.0,26
107/10/16,38,433,11.70,11.95,11.25,11.95,0.25,30
107/10/17,20,239,12.05,12.05,11.80,12.00,0.05,19
107/10/18,20,243,11.85,12.30,11.85,12.30,0.3,13
107/10/19,38,468,12.30,12.35,12.05,12.35,0.05,19
107/10/22,24,296,12.30,12.40,12.30,12.40,0.05,14
107/10/23,79,"1,075",12.50,13.60,12.50,13.60,1.2,46
107/10/24,252,"3,771",14.95,14.95,14.90,14.95,1.35,105
107/10/25,859,"13,981",16.40,16.40,15.20,16.30,1.35,398
107/10/26,306,"4,540",14.70,15.60,14.70,14.70,-1.6,192
107/10/29,206,"2,843",13.25,15.00,13.25,15.00,0.3,140
107/10/30,191,"2,629",14.50,14.60,13.50,13.50,-1.5,126
107/10/31,142,"1,871",13.50,13.70,12.60,13.10,-0.4,77
107/11/01,171,"2,193",13.25,13.40,12.55,12.70,-0.4,101
107/11/02,122,"1,639",12.70,13.65,12.70,13.55,0.85,97
107/11/05,119,"1,561",13.55,13.65,12.95,13.10,-0.45,72
107/11/06,34,450,13.40,13.45,13.05,13.30,0.2,32
107/11/07,51,673,13.45,13.55,13.05,13.05,-0.25,38
107/11/08,244,"3,404",13.10,14.30,13.10,13.90,0.85,165
107/11/09,129,"1,721",13.90,13.90,13.10,13.40,-0.5,95
107/11/12,94,"1,226",13.40,13.40,12.85,12.90,-0.5,61
107/11/13,94,"1,186",12.60,12.90,12.15,12.75,-0.15,51
107/11/14,64,823,13.20,13.20,12.65,12.65,-0.1,51
107/11/15,59,754,12.65,13.00,12.65,12.70,0.05,37
107/11/16,58,731,13.05,13.05,12.45,12.60,-0.1,41
107/11/19,47,593,12.60,13.15,12.50,12.60,0.0,35
107/11/20,28,351,12.75,12.90,12.60,12.60,0.0,27
