date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,113","55,415",50.8,50.8,49.5,49.65,-1.05,697
107/07/03,"1,033","50,483",49.65,50.3,48.1,48.4,-1.25,678
107/07/04,645,"31,145",48.2,48.8,48.0,48.25,-0.15,403
107/07/05,549,"26,440",48.5,48.5,47.8,47.8,-0.45,371
107/07/06,474,"22,549",47.9,48.0,47.0,48.0,0.2,308
107/07/09,298,"14,473",48.75,49.4,48.05,48.8,0.8,237
107/07/10,"1,106","55,316",49.5,50.9,49.15,50.6,1.8,715
107/07/11,836,"42,025",51.0,51.3,49.6,50.0,-0.6,600
107/07/12,"1,595","81,741",50.8,52.0,50.3,51.3,1.3,"1,179"
107/07/13,"1,007","51,792",51.5,51.7,51.0,51.6,0.3,646
107/07/16,602,"30,933",51.8,51.8,50.8,51.4,-0.2,399
107/07/17,413,"21,118",51.6,51.6,50.7,50.9,-0.5,308
107/07/18,545,"27,684",51.2,51.4,50.1,50.5,-0.4,388
107/07/19,404,"20,438",50.5,51.0,50.3,50.5,0.0,299
107/07/20,364,"18,329",50.8,50.9,50.0,50.2,-0.3,257
107/07/23,519,"26,287",50.1,51.5,49.8,51.4,1.2,350
107/07/24,635,"32,570",51.3,51.8,50.7,51.5,0.1,482
107/07/25,393,"20,186",51.5,51.6,51.1,51.3,-0.2,283
107/07/26,493,"25,153",51.3,51.5,50.5,50.8,-0.5,411
107/07/27,361,"18,482",50.8,51.6,50.8,51.0,0.2,228
107/07/30,166,"8,469",51.0,51.1,50.7,50.7,-0.3,110
107/07/31,203,"10,384",50.7,51.3,50.7,51.3,0.6,135
107/08/01,278,"14,316",51.5,51.7,51.2,51.6,0.3,185
107/08/02,354,"18,163",51.7,51.8,51.0,51.0,-0.6,235
107/08/03,726,"37,813",51.4,52.9,51.4,52.0,1.0,515
107/08/06,396,"20,726",52.3,52.8,51.7,52.2,0.2,293
107/08/07,297,"15,460",52.2,52.3,51.9,52.2,0.0,156
107/08/08,516,"27,037",52.5,52.7,51.9,52.3,0.1,256
107/08/09,536,"28,129",52.0,52.9,52.0,52.8,0.5,275
107/08/10,668,"35,401",52.8,53.7,52.4,52.6,-0.2,391
107/08/13,910,"46,940",52.6,52.6,50.3,51.0,-1.6,582
107/08/14,"1,101","56,910",51.3,52.3,50.9,52.3,1.3,641
107/08/15,971,"48,030",49.7,49.8,49.25,49.35,0.05,538
107/08/16,407,"19,893",49.0,49.25,48.6,48.6,-0.75,277
107/08/17,195,"9,583",49.5,49.5,48.7,48.9,0.3,145
107/08/20,571,"28,344",48.9,50.3,48.8,49.95,1.05,370
107/08/21,732,"37,204",50.6,51.1,50.3,51.1,1.15,511
107/08/22,771,"39,477",51.7,51.9,50.6,50.6,-0.5,456
107/08/23,421,"21,378",50.9,51.1,50.5,51.0,0.4,290
107/08/24,297,"14,947",51.4,51.4,50.0,50.2,-0.8,217
107/08/27,169,"8,528",50.5,50.7,50.1,50.4,0.2,120
107/08/28,219,"10,940",50.5,50.5,49.65,49.75,-0.65,188
107/08/29,223,"11,025",49.75,49.75,49.25,49.25,-0.5,175
