date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,0,0,--,--,--,--,0.0,0
107/07/03,0,0,--,--,--,--,0.0,0
107/07/04,0,1,--,--,--,--,0.0,1
107/07/05,0,0,--,--,--,--,0.0,0
107/07/06,0,0,--,--,--,--,0.0,0
107/07/09,0,0,--,--,--,--,0.0,0
107/07/10,0,0,--,--,--,--,0.0,0
107/07/11,10,485,48.50,48.50,48.50,48.50,0.0,1
107/07/12,0,0,--,--,--,--,0.0,0
107/07/13,0,0,--,--,--,--,0.0,0
107/07/16,1,50,49.50,49.50,49.50,49.50,1.0,1
107/07/17,0,0,--,--,--,--,0.0,1
107/07/18,0,0,--,--,--,--,0.0,0
107/07/19,1,50,49.75,49.75,49.75,49.75,0.25,1
107/07/20,1,50,49.50,49.50,49.50,49.50,-0.25,2
107/07/23,0,0,--,--,--,--,0.0,0
107/07/24,0,0,--,--,--,--,0.0,0
107/07/25,0,0,--,--,--,--,0.0,0
107/07/26,0,0,--,--,--,--,0.0,0
107/07/27,0,2,--,--,--,--,0.0,1
107/07/30,0,0,--,--,--,--,0.0,0
107/07/31,0,0,--,--,--,--,0.0,0
107/08/01,0,0,--,--,--,--,0.0,0
107/08/02,0,0,--,--,--,--,0.0,0
107/08/03,0,0,--,--,--,--,0.0,0
107/08/06,0,0,--,--,--,--,0.0,0
107/08/07,0,0,--,--,--,--,0.0,0
107/08/08,1,48,48.00,48.00,48.00,48.00,0.0,1
107/08/09,0,0,--,--,--,--,0.0,0
107/08/10,0,7,--,--,--,--,0.0,1
107/08/13,2,97,48.50,48.50,48.50,48.50,0.5,1
107/08/14,1,49,48.55,48.55,48.55,48.55,0.05,1
107/08/15,0,0,--,--,--,--,0.0,0
107/08/16,0,0,--,--,--,--,0.0,0
107/08/17,0,0,--,--,--,--,0.0,0
107/08/20,0,0,--,--,--,--,0.0,0
107/08/21,11,539,48.95,49.00,48.95,49.00,0.45,2
107/08/22,0,0,--,--,--,--,0.0,0
107/08/23,0,0,--,--,--,--,0.0,0
107/08/24,0,0,--,--,--,--,0.0,0
107/08/27,0,0,--,--,--,--,0.0,0
107/08/28,0,0,--,--,--,--,0.0,0
107/08/29,0,0,--,--,--,--,0.0,0
107/08/30,0,0,--,--,--,--,0.0,1
107/08/31,0,0,--,--,--,--,0.0,0
107/09/03,0,0,--,--,--,--,0.0,0
107/09/04,0,0,--,--,--,--,0.0,0
107/09/05,0,0,--,--,--,--,0.0,0
107/09/06,0,0,--,--,--,--,0.0,0
107/09/07,10,490,49.00,49.00,49.00,49.00,0.0,1
107/09/10,0,0,--,--,--,--,0.0,0
107/09/11,0,0,--,--,--,--,0.0,0
107/09/12,0,0,--,--,--,--,0.0,0
107/09/13,0,0,--,--,--,--,0.0,0
107/09/14,0,0,--,--,--,--,0.0,0
107/09/17,0,0,--,--,--,--,0.0,0
107/09/18,0,0,--,--,--,--,0.0,0
107/09/19,0,0,--,--,--,--,0.0,0
107/09/20,0,0,--,--,--,--,0.0,0
107/09/21,0,0,--,--,--,--,0.0,0
107/09/25,0,0,--,--,--,--,0.0,0
107/09/26,3,147,49.00,49.00,49.00,49.00,0.0,2
107/09/27,0,17,--,--,--,--,0.0,1
