date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,308,"4,880",16.1,16.15,15.6,15.6,-0.4,106
107/07/03,875,"13,904",15.5,16.4,15.25,16.4,0.8,246
107/07/04,784,"12,864",16.9,16.9,16.05,16.05,-0.35,254
107/07/05,352,"5,589",16.05,16.05,15.6,15.75,-0.3,89
107/07/06,170,"2,673",15.7,16.0,15.55,15.75,0.0,78
107/07/09,167,"2,622",15.85,15.85,15.55,15.6,-0.15,43
107/07/10,144,"2,248",15.65,15.65,15.55,15.6,0.0,42
107/07/11,122,"1,922",15.6,15.85,15.55,15.7,0.1,35
107/07/12,118,"1,819",15.7,15.7,15.3,15.55,-0.15,37
107/07/13,118,"1,823",15.55,15.7,15.45,15.5,-0.05,35
107/07/16,29,452,15.5,15.6,15.4,15.6,0.1,16
107/07/17,100,"1,554",15.6,15.6,15.4,15.6,0.0,27
107/07/18,242,"3,727",15.45,15.6,15.3,15.6,0.0,44
107/07/19,86,"1,324",15.6,15.6,15.3,15.35,-0.25,18
107/07/20,444,"7,040",15.45,16.5,15.35,15.8,0.45,99
107/07/23,410,"6,644",15.6,16.8,15.6,16.5,0.7,79
107/07/24,389,"6,222",16.45,16.45,15.45,15.95,-0.55,114
107/07/25,161,"2,596",15.95,16.45,15.95,15.95,0.0,35
107/07/26,50,796,15.9,16.0,15.9,16.0,0.05,15
107/07/27,239,"3,803",15.9,16.0,15.8,16.0,0.0,21
107/07/30,113,"1,806",15.85,16.0,15.85,15.85,-0.15,26
107/07/31,169,"2,673",15.8,15.9,15.65,15.65,-0.2,33
107/08/01,268,"4,159",15.75,15.8,15.4,15.8,0.15,47
107/08/02,144,"2,277",15.7,15.9,15.6,15.7,-0.1,25
107/08/03,261,"4,100",15.75,15.9,15.65,15.65,-0.05,26
107/08/06,28,440,15.7,15.75,15.65,15.75,0.1,14
107/08/07,38,603,15.7,15.9,15.7,15.9,0.15,19
107/08/08,13,206,15.75,15.75,15.7,15.7,-0.2,8
107/08/09,58,911,15.7,15.7,15.7,15.7,0.0,7
107/08/10,55,861,15.7,15.75,15.6,15.6,-0.1,17
107/08/13,164,"2,507",15.5,15.5,15.0,15.2,-0.4,50
107/08/14,20,300,15.2,15.35,15.2,15.35,0.15,10
107/08/15,159,"2,395",15.3,15.3,15.0,15.05,-0.3,32
107/08/16,94,"1,405",14.9,15.3,14.8,14.85,-0.2,36
107/08/17,29,436,14.85,15.0,14.85,14.9,0.05,14
107/08/20,53,795,14.9,15.0,14.9,14.9,0.0,15
107/08/21,33,497,15.0,15.1,15.0,15.1,0.2,15
107/08/22,88,"1,329",15.1,15.2,15.05,15.05,-0.05,12
107/08/23,45,675,15.15,15.15,14.95,14.95,-0.1,15
107/08/24,75,"1,142",15.0,15.55,15.0,15.1,0.25,20
107/08/27,294,"4,491",15.2,15.8,15.0,15.3,0.2,48
107/08/28,29,442,15.2,15.2,15.2,15.2,-0.1,10
107/08/29,75,"1,135",15.2,15.2,15.0,15.2,0.0,16
107/08/30,67,"1,010",15.3,15.4,15.05,15.1,-0.1,29
107/08/31,18,275,15.25,15.25,15.1,15.1,0.0,9
107/09/03,53,796,15.1,15.1,15.0,15.0,-0.1,16
107/09/04,130,"1,960",15.2,15.2,15.0,15.0,0.0,25
107/09/05,43,644,15.0,15.1,14.9,14.95,-0.05,11
107/09/06,24,361,14.85,15.0,14.85,15.0,0.05,10
107/09/07,26,390,15.0,15.05,14.9,15.05,0.05,11
107/09/10,42,626,15.0,15.1,14.75,15.1,0.05,18
107/09/11,29,426,15.0,15.0,14.8,15.0,-0.1,21
107/09/12,58,865,15.1,15.4,14.6,15.15,0.15,38
107/09/13,48,722,15.15,15.4,14.95,14.95,-0.2,21
107/09/14,27,408,15.25,15.25,15.0,15.05,0.1,22
107/09/17,66,990,15.05,15.15,14.95,15.0,-0.05,28
107/09/18,29,434,15.0,15.0,14.8,14.8,-0.2,17
107/09/19,52,775,14.9,15.0,14.8,14.9,0.1,29
107/09/20,260,"3,906",15.0,15.5,14.8,15.0,0.1,84
107/09/21,144,"2,157",15.0,15.0,14.85,14.9,-0.1,30
107/09/25,81,"1,204",15.25,15.25,14.8,14.9,0.0,22
107/09/26,18,273,14.9,15.05,14.8,15.05,0.15,18
107/09/27,33,488,15.0,15.0,15.0,15.0,-0.05,11
107/09/28,28,421,15.0,15.0,14.85,15.0,0.0,10
107/10/01,37,553,15.2,15.2,14.9,14.9,-0.1,11
107/10/02,140,"2,135",15.55,15.55,15.05,15.05,0.15,43
107/10/03,10,146,15.25,15.25,14.95,15.0,-0.05,16
107/10/04,89,"1,335",15.0,15.0,15.0,15.0,0.0,13
107/10/05,108,"1,626",15.0,15.25,14.95,15.0,0.0,37
107/10/08,84,"1,258",14.95,15.1,14.95,14.95,-0.05,26
107/10/09,15,226,15.0,15.1,15.0,15.1,0.15,6
107/10/11,132,"1,967",14.95,15.0,14.8,14.85,-0.25,39
107/10/12,68,"1,017",14.8,15.1,14.55,15.1,0.25,21
107/10/15,71,"1,073",15.25,15.25,14.9,14.95,-0.15,32
107/10/16,258,"3,949",14.95,15.75,14.9,15.75,0.8,73
107/10/17,438,"7,009",16.0,16.2,15.75,15.95,0.2,171
107/10/18,370,"6,002",15.9,16.45,15.9,16.3,0.35,128
107/10/19,154,"2,508",16.4,16.4,16.15,16.35,0.05,68
107/10/22,142,"2,300",16.25,16.4,15.95,16.4,0.05,55
107/10/23,75,"1,207",16.4,16.4,16.0,16.05,-0.35,32
107/10/24,75,"1,171",16.0,16.0,15.5,15.5,-0.55,33
107/10/25,71,"1,095",15.2,15.55,15.2,15.3,-0.2,28
107/10/26,80,"1,198",15.3,15.4,15.0,15.15,-0.15,37
107/10/29,25,378,15.1,15.4,15.0,15.0,-0.15,10
107/10/30,20,300,15.0,15.0,15.0,15.0,0.0,5
107/10/31,66,982,15.0,15.05,14.75,15.0,0.0,17
107/11/01,43,649,15.0,15.15,14.8,14.8,-0.2,18
107/11/02,7,105,15.0,15.0,14.9,14.9,0.1,5
107/11/05,24,359,14.85,15.15,14.85,14.85,-0.05,13
107/11/06,15,223,14.8,15.0,14.8,14.9,0.05,5
107/11/07,5,82,15.45,15.45,14.8,14.9,0.0,8
107/11/08,54,808,14.9,15.0,14.8,14.85,-0.05,20
107/11/09,69,"1,031",14.9,15.0,14.9,15.0,0.15,13
107/11/12,81,"1,215",15.0,15.3,14.8,15.05,0.05,20
107/11/13,17,257,14.9,15.1,14.9,15.0,-0.05,6
107/11/14,62,926,14.85,15.0,14.5,15.0,0.0,19
107/11/15,22,328,15.1,15.1,14.9,14.9,-0.1,5
107/11/16,18,269,15.0,15.0,14.85,14.9,0.0,8
107/11/19,154,"2,322",14.9,15.3,14.85,15.0,0.1,49
107/11/20,11,167,15.15,15.2,15.15,15.2,0.2,3
107/11/21,111,"1,694",15.15,15.8,15.1,15.3,0.1,33
107/11/22,77,"1,182",15.1,15.6,15.1,15.25,-0.05,25
107/11/23,53,810,15.1,15.45,15.1,15.1,-0.15,21
107/11/26,111,"1,718",15.0,15.7,15.0,15.25,0.15,48
107/11/27,26,398,15.4,15.4,15.25,15.25,0.0,13
107/11/28,72,"1,092",15.2,15.35,15.0,15.1,-0.15,26
107/11/29,84,"1,286",15.3,15.5,15.0,15.2,0.1,40
107/11/30,48,739,15.2,15.5,15.2,15.25,0.05,14
107/12/03,27,411,15.25,15.35,15.15,15.25,0.0,12
107/12/04,38,585,15.4,15.6,15.25,15.3,0.05,14
107/12/05,156,"2,413",15.45,15.65,15.2,15.3,0.0,47
107/12/06,39,598,15.5,15.5,15.2,15.35,0.05,13
107/12/07,83,"1,281",15.45,15.55,15.25,15.25,-0.1,26
107/12/10,65,"1,002",15.35,15.55,15.25,15.25,0.0,23
107/12/11,13,199,15.4,15.4,15.3,15.3,0.05,5
107/12/12,17,258,15.1,15.3,15.1,15.2,-0.1,13
107/12/13,273,"4,257",15.15,15.75,15.1,15.5,0.3,69
107/12/14,680,"11,272",15.55,17.05,15.35,17.05,1.55,175
107/12/17,984,"17,197",17.2,17.9,16.8,17.3,0.25,319
107/12/18,344,"5,925",17.1,17.45,16.8,17.45,0.15,118
107/12/19,338,"5,860",17.5,17.65,17.15,17.15,-0.3,85
107/12/20,116,"2,002",17.15,17.5,17.05,17.2,0.05,43
