date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,113,"1,982",17.6,17.6,17.5,17.6,0.15,58
107/07/03,132,"2,298",17.6,17.6,17.35,17.35,-0.25,75
107/07/04,142,"2,435",17.35,17.35,16.95,17.15,-0.2,79
107/07/05,100,"1,719",17.1,17.2,17.1,17.1,-0.05,53
107/07/06,137,"2,313",17.05,17.1,16.9,16.9,-0.2,86
107/07/09,98,"1,662",16.9,17.15,16.9,16.95,0.05,52
107/07/10,144,"2,448",17.0,17.1,16.95,17.0,0.05,56
107/07/11,51,870,17.1,17.1,16.95,17.0,0.0,34
107/07/12,136,"2,293",16.95,17.05,16.8,16.9,-0.1,80
107/07/13,106,"1,796",16.95,17.0,16.9,16.95,0.05,52
107/07/16,82,"1,396",17.05,17.05,16.9,17.0,0.05,43
107/07/17,99,"1,681",17.05,17.05,17.0,17.0,0.0,45
107/07/18,60,"1,018",17.05,17.05,16.9,16.95,-0.05,44
107/07/19,135,"2,285",17.05,17.05,16.8,17.0,0.05,74
107/07/20,99,"1,713",17.0,17.55,17.0,17.1,0.1,72
107/07/23,44,750,17.1,17.1,16.95,17.05,-0.05,32
107/07/24,58,993,17.05,17.1,16.9,17.1,0.05,32
107/07/25,94,"1,618",17.1,17.3,17.1,17.3,0.2,52
107/07/26,147,"2,571",17.6,17.6,17.3,17.5,0.2,90
107/07/27,105,"1,843",17.55,17.55,17.45,17.45,-0.05,48
107/07/30,93,"1,611",17.4,17.4,17.25,17.3,-0.15,55
107/07/31,67,"1,163",17.3,17.4,17.25,17.35,0.05,43
107/08/01,71,"1,237",17.4,17.4,17.35,17.35,0.0,40
107/08/02,111,"1,922",17.35,17.4,17.25,17.35,0.0,47
107/08/03,182,"3,146",17.35,17.45,17.2,17.35,0.0,65
107/08/06,805,"14,503",17.55,18.4,17.55,18.1,0.75,333
107/08/07,328,"5,857",18.0,18.0,17.75,17.85,-0.25,171
107/08/08,220,"3,922",18.0,18.0,17.8,17.8,-0.05,108
107/08/09,125,"2,237",18.0,18.0,17.8,17.85,0.05,76
107/08/10,197,"3,524",17.95,18.0,17.8,17.8,-0.05,104
107/08/13,271,"4,781",17.85,17.85,17.5,17.5,-0.3,151
107/08/14,230,"4,036",17.8,17.8,17.5,17.55,0.05,109
107/08/15,599,"10,464",17.55,17.6,17.35,17.45,-0.1,144
107/08/16,405,"7,080",17.45,17.6,17.4,17.45,0.0,95
107/08/17,581,"10,267",17.5,17.75,17.5,17.7,0.25,202
107/08/20,"1,097","19,539",18.0,18.0,17.75,17.75,0.05,471
107/08/21,718,"9,969",14.0,14.05,13.55,13.95,-0.5,371
107/08/22,252,"3,484",13.8,13.9,13.7,13.8,-0.15,117
107/08/23,184,"2,530",13.8,13.85,13.7,13.75,-0.05,83
107/08/24,137,"1,860",13.75,13.75,13.55,13.6,-0.15,76
107/08/27,185,"2,515",13.6,13.65,13.5,13.6,0.0,76
107/08/28,146,"1,989",13.6,13.7,13.55,13.65,0.05,70
107/08/29,55,758,13.6,13.75,13.6,13.7,0.05,32
107/08/30,194,"2,658",13.7,13.8,13.7,13.7,0.0,45
