date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,107,"3,786",35.2,35.95,35.15,35.15,-0.15,72
107/07/03,181,"6,314",35.1,35.3,34.35,34.35,-0.8,132
107/07/04,292,"9,830",34.35,34.35,33.4,33.55,-0.8,164
107/07/05,249,"8,284",33.55,33.75,32.9,33.05,-0.5,151
107/07/06,299,"9,724",32.9,33.0,32.3,32.35,-0.7,175
107/07/09,123,"4,011",32.3,33.15,32.1,33.0,0.65,83
107/07/10,72,"2,411",33.35,33.5,33.2,33.5,0.5,54
107/07/11,69,"2,296",33.65,33.65,33.1,33.3,-0.2,47
107/07/12,58,"1,935",33.6,33.6,33.15,33.3,0.0,45
107/07/13,91,"3,025",33.25,33.4,33.1,33.4,0.1,71
107/07/16,185,"6,350",33.5,35.0,33.5,34.3,0.9,136
107/07/17,116,"3,934",34.25,34.35,33.65,33.65,-0.65,95
107/07/18,101,"3,428",34.0,34.05,33.8,33.9,0.25,66
107/07/19,181,"6,156",33.9,34.1,33.7,33.7,-0.2,95
107/07/20,91,"3,078",33.7,34.2,33.65,33.7,0.0,49
107/07/23,92,"3,112",33.8,34.4,33.7,33.7,0.0,54
107/07/24,66,"2,233",33.8,34.0,33.6,33.85,0.15,47
107/07/25,91,"3,105",33.85,34.5,33.85,34.5,0.65,78
107/07/26,262,"9,110",34.5,34.85,34.5,34.7,0.2,178
107/07/27,478,"17,025",34.8,35.95,34.8,35.8,1.1,298
107/07/30,584,"21,221",35.75,37.3,35.15,36.6,0.8,377
107/07/31,263,"9,608",36.6,37.0,36.1,36.1,-0.5,180
107/08/01,286,"10,306",36.35,36.35,35.9,36.25,0.15,181
107/08/02,185,"6,673",36.4,36.65,35.9,35.9,-0.35,140
107/08/03,305,"11,207",35.9,37.3,35.9,36.75,0.85,206
107/08/06,638,"23,541",37.3,37.4,36.55,36.8,0.05,345
107/08/07,184,"6,781",37.0,37.3,36.6,36.7,-0.1,139
107/08/08,682,"25,784",36.95,38.8,36.95,37.75,1.05,455
107/08/09,250,"9,190",37.75,37.75,36.5,36.8,-0.95,193
107/08/10,127,"4,664",37.3,37.3,36.35,36.75,-0.05,91
107/08/13,250,"8,894",36.4,36.4,34.95,35.5,-1.25,168
107/08/14,111,"3,941",35.75,35.8,35.2,35.8,0.3,82
107/08/15,100,"3,553",35.8,35.95,35.2,35.5,-0.3,79
107/08/16,105,"3,681",35.5,35.5,34.6,35.1,-0.4,81
107/08/17,61,"2,169",35.2,35.5,35.2,35.25,0.15,54
107/08/20,54,"1,891",35.55,35.55,34.65,35.1,-0.15,48
107/08/21,53,"1,864",35.1,35.35,35.1,35.1,0.0,43
107/08/22,229,"8,306",35.55,36.8,35.4,36.4,1.3,158
107/08/23,402,"14,933",36.4,37.6,36.4,36.5,0.1,263
107/08/24,96,"3,497",36.3,36.9,36.25,36.9,0.4,74
107/08/27,"1,052","39,813",37.0,38.5,37.0,37.7,0.8,525
107/08/28,166,"6,225",38.0,38.0,37.2,37.6,-0.1,130
107/08/29,97,"3,653",37.6,37.75,37.4,37.6,0.0,72
107/08/30,80,"3,006",37.75,37.95,37.1,37.2,-0.4,61
107/08/31,87,"3,227",37.0,37.5,36.9,37.0,-0.2,60
107/09/03,98,"3,614",37.4,37.4,36.6,36.7,-0.3,78
107/09/04,57,"2,096",37.3,37.3,36.55,36.65,-0.05,37
107/09/05,66,"2,411",36.65,36.7,36.3,36.45,-0.2,46
107/09/06,185,"6,815",36.7,37.5,36.3,36.75,0.3,85
107/09/07,180,"6,499",37.0,37.4,35.0,36.0,-0.75,135
107/09/10,617,"21,106",36.4,36.4,33.7,33.8,-2.2,276
107/09/11,256,"8,762",33.8,34.75,33.8,34.5,0.7,157
107/09/12,110,"3,788",34.75,34.75,34.1,34.5,0.0,53
107/09/13,41,"1,402",34.0,34.45,34.0,34.45,-0.05,32
107/09/14,116,"4,061",34.5,35.2,34.5,35.1,0.65,79
107/09/17,68,"2,358",35.1,35.1,34.45,34.9,-0.2,40
107/09/18,39,"1,348",34.5,34.75,34.4,34.65,-0.25,31
107/09/19,41,"1,425",34.55,34.65,34.4,34.65,0.0,32
107/09/20,102,"3,502",34.95,34.95,34.0,34.35,-0.3,70
107/09/21,218,"7,503",34.8,34.95,34.15,34.2,-0.15,96
107/09/25,178,"6,050",34.2,34.3,33.7,34.15,-0.05,91
107/09/26,110,"3,765",34.15,34.7,34.0,34.2,0.05,50
107/09/27,94,"3,208",34.1,34.55,33.9,34.25,0.05,55
107/09/28,80,"2,746",34.1,34.55,34.05,34.05,-0.2,62
107/10/01,56,"1,916",34.1,34.7,34.1,34.35,0.3,39
107/10/02,455,"16,301",35.4,36.35,35.1,36.0,1.65,342
107/10/03,240,"8,501",36.3,36.35,34.9,34.9,-1.1,147
107/10/04,93,"3,255",34.75,35.3,34.75,35.3,0.4,57
107/10/05,118,"4,093",35.05,35.05,34.0,35.0,-0.3,91
107/10/08,67,"2,312",34.8,34.95,34.3,34.4,-0.6,47
107/10/09,227,"7,756",34.45,34.45,33.95,34.15,-0.25,115
107/10/11,876,"28,705",33.6,33.6,32.05,32.6,-1.55,384
