date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"5,239,022","185,491,765",35.4,35.8,35.15,35.15,-0.25,"2,250"
107/07/03,"4,063,566","142,694,460",35.15,35.5,34.8,34.9,-0.25,"2,045"
107/07/04,"3,782,675","133,771,763",35.0,35.55,35.0,35.45,+0.55,"1,954"
107/07/05,"8,055,283","286,666,139",35.65,35.85,35.45,35.5,+0.05,"3,222"
107/07/06,"8,015,446","267,401,694",33.7,33.75,32.95,33.05,X0.00,"3,769"
107/07/09,"4,551,853","152,732,039",33.2,33.9,33.15,33.65,+0.60,"2,211"
107/07/10,"2,825,924","95,482,711",33.8,33.95,33.5,33.9,+0.25,"1,909"
107/07/11,"2,674,054","89,192,925",33.5,33.5,33.2,33.45,-0.45,"1,397"
107/07/12,"3,487,163","118,482,760",33.45,34.35,33.4,34.15,+0.70,"1,658"
107/07/13,"5,325,496","180,102,531",34.15,34.2,33.7,33.8,-0.35,"2,218"
107/07/16,"2,843,939","95,879,234",34.0,34.0,33.6,33.6,-0.20,"1,583"
107/07/17,"7,916,958","264,582,933",33.7,33.8,33.35,33.35,-0.25,"2,876"
107/07/18,"10,108,626","340,440,026",33.6,34.25,33.35,34.25,+0.90,"3,949"
107/07/19,"6,640,055","228,081,727",34.25,34.7,33.85,34.3,+0.05,"3,441"
107/07/20,"3,904,563","132,908,942",34.4,34.5,33.9,33.9,-0.40,"1,935"
107/07/23,"2,805,976","95,520,926",34.0,34.3,33.8,33.95,+0.05,"1,610"
107/07/24,"5,087,870","173,246,646",34.05,34.3,33.95,34.3,+0.35,"2,310"
107/07/25,"6,171,076","213,525,885",34.3,34.9,34.25,34.75,+0.45,"2,957"
107/07/26,"4,948,892","171,902,297",34.75,35.0,34.5,34.75, 0.00,"2,731"
107/07/27,"4,494,354","156,637,441",34.7,35.0,34.6,34.95,+0.20,"2,347"
107/07/30,"9,691,820","328,637,029",34.2,34.4,33.7,33.95,-1.00,"4,141"
107/07/31,"13,311,500","449,080,785",33.95,34.2,33.55,33.65,-0.30,"2,768"
107/08/01,"4,488,429","152,028,652",33.75,34.05,33.7,33.95,+0.30,"2,091"
107/08/02,"2,473,057","83,367,020",33.95,33.95,33.6,33.65,-0.30,"1,210"
107/08/03,"3,109,824","104,377,424",33.65,33.75,33.5,33.5,-0.15,"1,498"
107/08/06,"3,281,671","109,806,669",33.5,33.6,33.4,33.45,-0.05,"1,754"
107/08/07,"4,300,745","143,957,351",33.45,33.8,33.3,33.3,-0.15,"2,274"
107/08/08,"4,297,074","144,099,329",33.4,33.65,33.35,33.65,+0.35,"2,044"
107/08/09,"3,053,635","102,313,378",33.55,33.7,33.35,33.35,-0.30,"1,654"
107/08/10,"2,965,479","99,728,984",33.35,33.75,33.35,33.6,+0.25,"1,550"
107/08/13,"2,601,397","86,612,992",33.6,33.6,33.1,33.2,-0.40,"1,695"
107/08/14,"1,681,458","56,236,747",33.25,33.65,33.25,33.6,+0.40,977
107/08/15,"5,214,438","173,884,845",33.8,33.8,33.1,33.15,-0.45,"3,107"
107/08/16,"7,817,632","254,657,556",33.0,33.0,32.4,32.5,-0.65,"4,260"
107/08/17,"4,193,065","136,080,361",32.65,32.7,32.3,32.3,-0.20,"2,185"
107/08/20,"4,104,457","134,865,886",32.6,33.2,32.5,33.05,+0.75,"2,135"
107/08/21,"4,475,078","149,154,040",33.05,33.65,32.9,33.6,+0.55,"2,460"
107/08/22,"5,878,074","199,065,298",33.6,34.1,33.45,33.95,+0.35,"3,061"
107/08/23,"4,192,492","141,762,145",34.1,34.15,33.55,33.85,-0.10,"1,976"
107/08/24,"3,240,998","108,106,626",33.7,33.7,33.15,33.3,-0.55,"1,494"
107/08/27,"2,912,872","97,788,866",33.5,33.75,33.3,33.75,+0.45,"1,289"
107/08/28,"3,144,742","106,164,063",33.85,33.85,33.6,33.8,+0.05,"1,390"
107/08/29,"2,564,433","86,467,855",33.8,33.8,33.6,33.75,-0.05,"1,396"
107/08/30,"3,796,162","127,977,458",33.8,33.85,33.55,33.8,+0.05,"1,816"
107/08/31,"4,321,002","145,858,512",33.8,33.85,33.5,33.85,+0.05,"1,359"
