date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"797,191","29,726,009",36.85,37.75,36.8,37.5,X0.00,493
107/07/03,"199,991","7,522,410",37.7,37.9,37.5,37.5, 0.00,165
107/07/04,"305,790","11,412,556",37.5,37.6,37.1,37.1,-0.40,220
107/07/05,"225,607","8,346,359",37.15,37.2,36.8,37.05,-0.05,188
107/07/06,"182,184","6,739,268",37.1,37.2,36.8,37.05, 0.00,170
107/07/09,"103,166","3,833,204",37.05,37.35,37.0,37.1,+0.05,81
107/07/10,"218,013","8,156,135",37.4,37.65,37.3,37.35,+0.25,203
107/07/11,"170,493","6,348,961",37.35,37.65,37.0,37.3,-0.05,112
107/07/12,"232,990","8,713,872",37.3,37.8,37.25,37.45,+0.15,179
107/07/13,"164,473","6,201,459",37.55,37.8,37.5,37.65,+0.20,112
107/07/16,"220,822","8,384,836",37.65,38.2,37.65,38.0,+0.35,148
107/07/17,"104,497","3,985,786",38.05,38.6,38.0,38.05,+0.05,94
107/07/18,"88,256","3,364,609",38.05,38.45,38.05,38.15,+0.10,66
107/07/19,"83,130","3,159,312",38.2,38.2,37.8,37.8,-0.35,70
107/07/20,"75,816","2,866,900",37.9,37.9,37.75,37.75,-0.05,52
107/07/23,"159,614","5,974,268",37.75,37.8,37.2,37.25,-0.50,114
107/07/24,"70,917","2,665,237",37.25,38.0,37.25,37.5,+0.25,64
107/07/25,"106,813","4,045,829",37.8,38.0,37.6,37.7,+0.20,69
107/07/26,"51,355","1,947,818",37.7,38.1,37.7,37.95,+0.25,49
107/07/27,"225,827","8,509,883",37.95,37.95,37.5,37.55,-0.40,159
107/07/30,"119,230","4,466,094",37.7,37.7,37.35,37.6,+0.05,90
107/07/31,"65,524","2,461,601",37.6,37.7,37.5,37.7,+0.10,50
107/08/01,"64,460","2,431,889",37.8,37.85,37.65,37.65,-0.05,61
107/08/02,"189,138","7,104,108",37.65,37.8,37.35,37.4,-0.25,151
107/08/03,"142,660","5,333,330",37.4,37.5,37.3,37.4, 0.00,105
107/08/06,"204,753","7,725,283",37.7,37.85,37.6,37.7,+0.30,153
107/08/07,"161,206","6,096,340",37.9,37.95,37.75,37.85,+0.15,118
107/08/08,"581,706","22,324,428",38.1,38.8,38.0,38.25,+0.40,357
107/08/09,"242,641","9,355,236",38.3,38.8,38.3,38.7,+0.45,179
107/08/10,"289,831","11,266,025",38.7,39.2,38.5,38.7, 0.00,185
107/08/13,"349,330","13,531,005",38.7,39.0,38.4,38.7, 0.00,220
107/08/14,"326,920","12,744,790",38.7,39.3,38.65,38.9,+0.20,229
107/08/15,"223,572","8,704,490",39.1,39.1,38.8,38.9, 0.00,213
107/08/16,"366,560","14,267,622",39.0,39.2,38.65,39.0,+0.10,267
