date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,108","44,851",40.50,40.50,40.50,40.50,X0.00,3
107/07/03,"3,250","131,574",40.50,40.55,40.50,40.55,+0.05,5
107/07/04,"16,000","648,350",40.60,40.85,40.40,40.85,+0.30,9
107/07/05,33,"1,346",--,--,--,--, 0.00,1
107/07/06,"6,000","244,600",40.70,40.80,40.70,40.80,X0.00,6
107/07/09,"8,145","334,063",40.75,41.30,40.75,41.00,+0.20,13
107/07/10,"6,000","245,950",41.00,41.00,40.95,40.95,-0.05,5
107/07/11,"5,050","206,945",41.00,41.00,40.90,40.90,-0.05,6
107/07/12,"13,008","531,926",40.90,41.10,40.85,41.10,+0.20,7
107/07/13,"6,071","250,146",41.00,41.50,41.00,41.50,+0.40,8
107/07/16,"20,118","803,428",40.00,40.00,39.80,40.00,X0.00,22
107/07/17,"9,012","360,584",40.10,40.10,39.90,39.90,-0.10,12
107/07/18,"22,000","884,000",39.90,40.40,39.85,40.40,+0.50,22
107/07/19,"3,848","153,633",40.00,40.00,39.90,39.90,-0.50,11
107/07/20,"3,045","121,444",39.90,39.90,39.85,39.85,-0.05,6
107/07/23,0,0,--,--,--,--, 0.00,0
107/07/24,"3,010","119,948",39.85,39.85,39.85,39.85,X0.00,5
107/07/25,"3,000","119,400",39.80,39.80,39.80,39.80,-0.05,3
107/07/26,"9,035","363,646",40.15,40.40,39.85,39.85,+0.05,10
107/07/27,"5,035","200,800",39.90,39.90,39.85,39.85, 0.00,7
107/07/30,"14,039","554,593",39.85,39.85,39.30,39.50,-0.35,15
107/07/31,"4,000","158,700",39.55,40.00,39.55,39.60,+0.10,4
107/08/01,"1,000","39,600",39.60,39.60,39.60,39.60, 0.00,1
107/08/02,"21,000","830,800",39.60,39.65,39.50,39.60, 0.00,17
107/08/03,"8,032","316,280",39.15,40.15,39.15,39.35,-0.25,9
107/08/06,"1,579","62,270",39.40,39.40,39.40,39.40,+0.05,4
107/08/07,"8,000","315,450",39.40,39.70,39.35,39.35,-0.05,8
107/08/08,0,0,--,--,--,--, 0.00,0
107/08/09,100,"4,190",--,--,--,--, 0.00,1
107/08/10,1,39,--,--,--,--, 0.00,1
107/08/13,"12,000","474,000",39.55,39.55,39.45,39.55,X0.00,10
107/08/14,"2,000","79,100",39.55,39.55,39.55,39.55, 0.00,2
107/08/15,418,"17,513",--,--,--,--, 0.00,3
107/08/16,"9,098","359,171",39.45,39.55,39.40,39.45,X0.00,6
107/08/17,"8,000","317,850",39.45,40.15,39.45,40.10,+0.65,8
107/08/20,"20,050","799,650",39.95,40.20,39.55,39.55,-0.55,19
107/08/21,"9,395","376,300",40.00,40.10,40.00,40.05,+0.50,15
107/08/22,"5,000","200,250",40.05,40.05,40.05,40.05, 0.00,4
107/08/23,"6,326","254,378",40.05,40.05,40.00,40.00,-0.05,9
107/08/24,"14,220","567,987",40.05,40.05,39.90,39.90,-0.10,15
107/08/27,"21,003","838,676",40.00,40.00,39.90,39.90, 0.00,14
107/08/28,"8,578","342,222",39.90,40.00,39.90,39.90, 0.00,12
107/08/29,"4,000","159,600",39.90,39.90,39.90,39.90, 0.00,4
107/08/30,"12,001","478,540",39.90,39.90,39.75,39.75,-0.15,4
107/08/31,"10,449","416,915",39.90,39.90,39.90,39.90,+0.15,7
107/09/03,"31,000","1,240,000",40.00,40.00,40.00,40.00,+0.10,7
107/09/04,"11,204","448,160",40.00,40.00,40.00,40.00, 0.00,4
107/09/05,"22,327","895,242",39.90,40.25,39.90,40.00, 0.00,17
107/09/06,"15,036","601,436",40.00,40.00,40.00,40.00, 0.00,12
107/09/07,"15,125","604,550",40.00,40.00,39.85,39.85,-0.15,8
107/09/10,"13,001","519,089",39.85,40.10,39.85,40.10,+0.25,14
107/09/11,"5,070","201,738",39.40,40.10,39.40,40.10, 0.00,7
107/09/12,"9,000","359,450",40.00,40.05,39.90,40.05,-0.05,6
107/09/13,"21,005","842,600",39.90,40.30,39.90,40.30,+0.25,20
107/09/14,"1,000","40,500",40.50,40.50,40.50,40.50,+0.20,1
107/09/17,"1,031","41,652",40.40,40.40,40.40,40.40,-0.10,3
107/09/18,"20,090","804,346",40.40,40.40,40.00,40.00,-0.40,10
107/09/19,"37,148","1,487,371",40.00,40.45,39.90,40.45,+0.45,37
107/09/20,"4,000","160,250",40.15,40.15,40.00,40.00,-0.45,3
107/09/21,"12,000","480,100",40.05,40.05,40.00,40.00, 0.00,7
107/09/25,"4,010","160,401",40.00,40.00,40.00,40.00, 0.00,5
107/09/26,"17,000","679,850",40.00,40.00,39.85,39.85,-0.15,6
107/09/27,"7,100","284,110",40.00,40.05,40.00,40.05,+0.20,3
107/09/28,"5,024","201,010",40.05,40.05,40.00,40.00,-0.05,6
