date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,113,569,--,--,--,--, 0.00,2
107/07/03,"18,000","92,700",5.15,5.15,5.15,5.15,X0.00,6
107/07/04,759,"3,762",--,--,--,--, 0.00,3
107/07/05,7,35,--,--,--,--, 0.00,2
107/07/06,"11,000","56,100",5.10,5.10,5.10,5.10,X0.00,6
107/07/09,"2,522","12,708",5.10,5.10,5.10,5.10, 0.00,8
107/07/10,"1,019","5,205",5.11,5.11,5.11,5.11,+0.01,7
107/07/11,8,40,--,--,--,--, 0.00,1
107/07/12,"2,005","10,245",5.11,5.11,5.11,5.11,X0.00,3
107/07/13,"24,506","125,383",5.12,5.12,5.12,5.12,+0.01,11
107/07/16,"7,163","36,812",5.12,5.15,5.11,5.11,-0.01,5
107/07/17,"22,697","117,765",5.20,5.20,5.12,5.12,+0.01,11
107/07/18,"2,005","10,585",5.28,5.28,5.28,5.28,+0.16,4
107/07/19,324,"1,611",--,--,--,--, 0.00,3
107/07/20,13,63,--,--,--,--, 0.00,2
107/07/23,"2,195","11,523",5.27,5.27,5.27,5.27,X0.00,5
107/07/24,2,10,--,--,--,--, 0.00,2
107/07/25,"4,345","22,152",5.10,5.10,5.10,5.10,X0.00,4
107/07/26,"28,866","147,137",5.10,5.10,5.10,5.10, 0.00,13
107/07/27,"2,304","11,720",5.09,5.09,5.09,5.09,-0.01,8
107/07/30,605,"3,078",--,--,--,--, 0.00,4
107/07/31,"7,105","36,118",5.10,5.10,5.05,5.05,X0.00,7
107/08/01,"2,053","10,387",5.06,5.06,5.06,5.06,+0.01,6
107/08/02,108,540,--,--,--,--, 0.00,12
107/08/03,"9,031","47,157",5.25,5.25,5.20,5.20,X0.00,8
107/08/06,"4,004","20,500",5.10,5.20,5.08,5.20, 0.00,5
107/08/07,"47,744","248,080",5.20,5.20,5.20,5.20, 0.00,7
107/08/08,"20,487","104,870",5.20,5.20,5.05,5.05,-0.15,12
107/08/09,"6,196","31,329",5.05,5.08,5.05,5.08,+0.03,7
107/08/10,"1,041","5,355",5.15,5.15,5.15,5.15,+0.07,42
107/08/13,0,0,--,--,--,--, 0.00,0
107/08/14,5,25,--,--,--,--, 0.00,1
107/08/15,31,159,--,--,--,--, 0.00,4
107/08/16,100,508,--,--,--,--, 0.00,3
107/08/17,"4,468","23,356",5.31,5.32,5.15,5.15,X0.00,9
107/08/20,93,472,--,--,--,--, 0.00,1
107/08/21,"1,198","6,160",5.15,5.15,5.15,5.15,X0.00,4
107/08/22,"34,157","174,351",5.10,5.20,5.10,5.20,+0.05,13
107/08/23,621,"3,171",--,--,--,--, 0.00,4
107/08/24,"259,004","1,316,660",5.08,5.28,5.08,5.28,X0.00,11
107/08/27,"62,830","323,763",5.38,5.38,5.15,5.15,-0.13,6
107/08/28,"25,180","129,470",5.10,5.15,5.10,5.15, 0.00,9
107/08/29,"33,380","170,601",5.28,5.28,5.10,5.25,+0.10,14
107/08/30,133,651,--,--,--,--, 0.00,1
107/08/31,"47,900","244,241",5.10,5.10,5.07,5.10,X0.00,10
107/09/03,"34,019","173,495",5.10,5.10,5.10,5.10, 0.00,7
107/09/04,75,378,--,--,--,--, 0.00,2
107/09/05,"1,000","5,240",5.24,5.24,5.24,5.24,X0.00,1
107/09/06,161,809,--,--,--,--, 0.00,6
107/09/07,"10,419","52,678",5.00,5.20,5.00,5.20,X0.00,5
107/09/10,"11,020","57,433",5.30,5.30,5.08,5.19,-0.01,9
107/09/11,"7,000","35,390",5.06,5.06,5.05,5.05,-0.14,6
107/09/12,"6,000","31,080",5.30,5.30,5.06,5.06,+0.01,3
107/09/13,"7,079","35,822",5.06,5.06,5.06,5.06, 0.00,8
107/09/14,46,226,--,--,--,--, 0.00,3
107/09/17,219,"1,077",--,--,--,--, 0.00,1
107/09/18,"20,130","100,834",5.01,5.01,5.01,5.01,X0.00,14
107/09/19,"5,046","25,885",5.18,5.18,5.00,5.16,+0.15,5
107/09/20,"3,088","15,449",5.01,5.01,5.01,5.01,-0.15,6
107/09/21,"6,118","30,735",5.00,5.15,5.00,5.15,+0.14,4
107/09/25,"3,018","15,290",5.00,5.20,5.00,5.20,+0.05,3
107/09/26,161,808,--,--,--,--, 0.00,1
107/09/27,9,44,--,--,--,--, 0.00,1
107/09/28,"1,007","5,215",5.18,5.18,5.18,5.18,X0.00,2
107/10/01,"6,075","30,567",5.00,5.19,5.00,5.19,+0.01,5
107/10/02,0,0,--,--,--,--, 0.00,0
107/10/03,"3,927","19,805",5.00,5.17,5.00,5.17,X0.00,3
107/10/04,"5,630","28,600",5.00,5.26,5.00,5.16,-0.01,5
107/10/05,"22,140","111,363",5.04,5.14,5.00,5.14,-0.02,17
107/10/08,"9,050","45,598",5.02,5.18,5.02,5.18,+0.04,8
107/10/09,52,295,--,--,--,--, 0.00,1
107/10/11,"13,000","64,700",5.00,5.00,4.90,5.00,X0.00,8
107/10/12,"15,000","75,000",5.00,5.00,5.00,5.00, 0.00,3
107/10/15,474,"2,370",--,--,--,--, 0.00,6
107/10/16,"12,180","60,900",5.00,5.00,5.00,5.00,X0.00,4
107/10/17,"22,038","110,380",5.00,5.19,5.00,5.19,+0.19,9
107/10/18,0,0,--,--,--,--, 0.00,0
107/10/19,870,"4,253",--,--,--,--, 0.00,2
107/10/22,"2,000","10,280",5.14,5.14,5.14,5.14,X0.00,2
107/10/23,30,153,--,--,--,--, 0.00,2
107/10/24,"1,101","5,646",5.14,5.14,5.14,5.14,X0.00,3
107/10/25,"9,286","46,780",5.00,5.10,5.00,5.09,-0.05,9
107/10/26,4,18,--,--,--,--, 0.00,2
107/10/29,"33,871","166,297",5.20,5.20,4.77,4.98,X0.00,15
107/10/30,"17,314","84,977",4.98,5.00,4.67,5.00,+0.02,14
107/10/31,"9,050","44,160",4.70,5.00,4.70,5.00, 0.00,7
107/11/01,"4,012","20,018",4.99,4.99,4.99,4.99,-0.01,5
107/11/02,"1,000","4,990",4.99,4.99,4.99,4.99, 0.00,1
107/11/05,"1,000","4,990",4.99,4.99,4.99,4.99, 0.00,1
107/11/06,"2,020","9,988",4.90,4.98,4.90,4.98,-0.01,4
107/11/07,"10,000","49,670",4.98,5.00,4.91,4.99,+0.01,6
107/11/08,"11,000","55,000",5.00,5.00,5.00,5.00,+0.01,9
107/11/09,"2,000","10,000",5.00,5.00,5.00,5.00, 0.00,1
107/11/12,"6,533","31,535",4.61,4.96,4.61,4.96,-0.04,10
107/11/13,0,0,--,--,--,--, 0.00,0
107/11/14,"25,000","124,920",4.96,5.05,4.96,5.05,X0.00,9
107/11/15,"1,001","5,055",5.05,5.05,5.05,5.05, 0.00,2
107/11/16,"2,028","10,337",5.10,5.10,5.10,5.10,+0.05,3
107/11/19,"21,134","110,282",5.28,5.28,5.20,5.20,+0.10,10
107/11/20,100,510,--,--,--,--, 0.00,1
107/11/21,"4,000","20,240",5.02,5.10,5.02,5.10,X0.00,3
107/11/22,"3,000","15,300",5.10,5.10,5.10,5.10, 0.00,2
107/11/23,"23,740","120,318",5.00,5.16,5.00,5.10, 0.00,21
107/11/26,"25,000","129,510",5.19,5.20,5.15,5.15,+0.05,11
107/11/27,0,0,--,--,--,--, 0.00,0
107/11/28,"10,601","52,911",5.00,5.00,5.00,5.00,X0.00,13
107/11/29,"26,001","133,305",5.00,5.15,5.00,5.15,+0.15,9
107/11/30,"18,532","94,417",5.10,5.10,5.10,5.10,-0.05,7
107/12/03,"15,555","79,560",5.13,5.13,5.10,5.10, 0.00,9
107/12/04,"16,018","81,630",5.10,5.10,5.09,5.09,-0.01,6
107/12/05,"5,393","27,658",5.15,5.15,5.15,5.15,+0.06,8
107/12/06,"23,051","117,660",5.12,5.20,5.00,5.07,-0.08,16
107/12/07,"12,056","61,946",5.15,5.15,5.07,5.07, 0.00,5
107/12/10,0,0,--,--,--,--, 0.00,0
107/12/11,0,0,--,--,--,--, 0.00,0
107/12/12,0,0,--,--,--,--, 0.00,0
107/12/13,"3,197","15,909",5.00,5.00,4.98,4.98,X0.00,3
107/12/14,"15,019","74,192",4.94,4.94,4.94,4.94,-0.04,9
107/12/17,"10,047","49,518",4.80,5.05,4.80,5.05,+0.11,8
107/12/18,"13,030","62,610",4.81,4.81,4.80,4.80,-0.25,8
107/12/19,"9,009","44,684",4.80,4.98,4.80,4.98,+0.18,6
107/12/20,0,0,--,--,--,--, 0.00,0
107/12/21,"2,097","10,469",5.00,5.00,5.00,5.00,X0.00,5
107/12/22,0,0,--,--,--,--, 0.00,0
107/12/24,314,"1,522",--,--,--,--, 0.00,2
107/12/25,468,"2,293",--,--,--,--, 0.00,1
107/12/26,"10,000","49,950",4.99,5.00,4.99,5.00,X0.00,5
107/12/27,0,0,--,--,--,--, 0.00,0
107/12/28,"11,220","55,888",4.86,5.19,4.86,5.19,X0.00,11
108/01/02,"1,000","5,120",5.12,5.12,5.12,5.12,-0.07,1
108/01/03,"1,157","5,898",5.12,5.12,5.12,5.12, 0.00,2
108/01/04,"67,000","346,920",5.10,5.20,5.10,5.19,+0.07,11
108/01/07,0,0,--,--,--,--, 0.00,0
108/01/08,501,"2,469",--,--,--,--, 0.00,2
