date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,"1,032","41,292",40.00,40.00,40.00,40.00,X0.00,2
107/07/03,"46,000","1,836,300",40.70,40.70,39.55,39.65,-0.35,40
107/07/04,"44,000","1,733,250",39.50,39.60,39.20,39.45,-0.20,35
107/07/05,"20,003","787,417",39.45,39.45,39.30,39.30,-0.15,20
107/07/06,"37,115","1,454,351",39.45,39.45,39.00,39.00,-0.30,38
107/07/09,"23,000","905,000",39.65,39.65,39.05,39.25,+0.25,22
107/07/10,"14,000","550,050",39.30,39.40,39.20,39.20,-0.05,10
107/07/11,"178,666","7,007,672",39.30,39.30,39.00,39.30,+0.10,114
107/07/12,"85,051","3,338,971",39.25,39.40,39.25,39.30, 0.00,42
107/07/13,"181,002","7,111,778",39.30,39.40,39.25,39.25,-0.05,88
107/07/16,"65,150","2,560,823",39.30,39.35,39.30,39.30,+0.05,33
107/07/17,"63,033","2,477,359",39.35,39.35,39.30,39.35,+0.05,36
107/07/18,"59,001","2,320,889",39.35,39.40,39.30,39.40,+0.05,49
107/07/19,"49,029","1,932,860",39.40,39.65,39.30,39.65,+0.25,36
107/07/20,"25,024","988,996",39.55,39.60,39.40,39.40,-0.25,27
107/07/23,"26,107","1,028,393",39.35,39.45,39.35,39.40, 0.00,27
107/07/24,"52,218","2,057,710",39.40,39.45,39.40,39.40, 0.00,48
107/07/25,"36,121","1,427,679",39.60,39.60,39.40,39.40, 0.00,27
107/07/26,"89,050","3,550,337",39.40,40.35,39.40,40.35,+0.95,71
107/07/27,"56,577","2,181,515",38.50,38.70,38.45,38.70,X0.00,52
107/07/30,"39,200","1,519,689",38.70,39.00,38.65,38.85,+0.15,28
107/07/31,"9,040","349,056",39.00,39.00,38.50,38.55,-0.30,10
107/08/01,"18,075","695,897",38.50,38.50,38.50,38.50,-0.05,21
107/08/02,"60,002","2,308,576",38.50,38.95,38.40,38.45,-0.05,41
107/08/03,"66,182","2,548,583",38.75,38.75,38.45,38.60,+0.15,47
107/08/06,"17,106","659,450",38.50,38.70,38.50,38.70,+0.10,12
107/08/07,"21,110","814,234",38.50,38.60,38.50,38.50,-0.20,15
107/08/08,"16,127","620,989",38.50,38.60,38.50,38.50, 0.00,11
107/08/09,"14,168","546,240",38.50,38.60,38.50,38.60,+0.10,9
107/08/10,"20,004","775,556",38.85,38.85,38.70,38.70,+0.10,11
107/08/13,"21,628","832,689",38.70,38.70,38.50,38.50,-0.20,14
107/08/14,"4,003","155,064",38.80,38.80,38.55,38.55,+0.05,7
107/08/15,"5,098","197,252",38.55,38.95,38.55,38.55, 0.00,14
107/08/16,"3,000","115,650",38.50,38.65,38.50,38.65,+0.10,3
107/08/17,"15,228","591,942",38.80,38.95,38.70,38.90,+0.25,17
107/08/20,"41,001","1,609,739",39.00,39.50,38.90,39.40,+0.50,39
107/08/21,"26,000","1,026,500",39.10,39.90,39.10,39.50,+0.10,25
107/08/22,"8,071","320,157",39.50,39.75,39.50,39.55,+0.05,10
107/08/23,"13,165","521,933",39.60,39.80,39.60,39.80,+0.25,14
107/08/24,"5,001","198,689",39.85,39.90,39.50,39.70,-0.10,6
107/08/27,"1,000","39,850",39.85,39.85,39.85,39.85,+0.15,1
107/08/28,"13,425","530,302",39.50,39.55,39.50,39.50,-0.35,10
107/08/29,"6,000","237,200",39.55,39.55,39.50,39.50, 0.00,6
107/08/30,"7,001","277,739",39.85,39.85,39.50,39.65,+0.15,7
107/08/31,"6,005","238,245",39.60,39.85,39.60,39.85,+0.20,9
107/09/03,"2,327","92,247",39.50,39.80,39.50,39.80,-0.05,7
107/09/04,"8,001","316,339",39.55,39.75,39.50,39.75,-0.05,7
107/09/05,"13,001","513,889",39.50,39.70,39.45,39.60,-0.15,14
107/09/06,"27,004","1,066,306",39.50,39.50,39.45,39.50,-0.10,19
107/09/07,"4,512","178,823",39.50,39.75,39.50,39.75,+0.25,8
107/09/10,"24,871","985,304",39.80,39.80,39.50,39.80,+0.05,26
107/09/11,"6,005","237,948",39.50,39.80,39.50,39.80, 0.00,7
107/09/12,"12,000","476,500",39.80,39.80,39.65,39.70,-0.10,8
107/09/13,"33,085","1,318,722",39.60,39.90,39.60,39.90,+0.20,34
107/09/14,"5,496","219,388",40.00,40.00,39.90,39.90, 0.00,10
107/09/17,"26,080","1,041,774",39.90,40.00,39.90,39.90, 0.00,15
