date,volume,amount,open,high,low,close,spread,Quantity
107/07/02,4,132,33.30,33.30,33.00,33.00,-0.95,4
107/07/03,1,34,33.00,33.00,33.00,33.00,0.0,6
107/07/04,0,0,--,--,--,--,0.0,0
107/07/05,2,65,32.35,32.35,32.35,32.35,-0.65,6
107/07/06,2,65,31.70,32.80,31.70,32.80,0.45,4
107/07/09,2,64,32.00,32.00,31.95,31.95,-0.85,2
107/07/10,7,221,31.95,31.95,31.35,31.45,-0.5,8
107/07/11,2,63,31.20,32.15,31.20,32.15,0.7,2
107/07/12,2,63,31.20,31.90,31.20,31.90,-0.25,4
107/07/13,7,209,31.30,31.30,30.90,30.90,-1.0,11
107/07/16,7,223,31.90,31.90,31.90,31.90,1.0,9
107/07/17,333,"11,605",32.00,35.05,31.65,31.65,-0.25,34
107/07/18,3,96,32.15,32.15,31.60,31.60,-0.05,5
107/07/19,6,188,31.35,31.55,31.25,31.30,-0.3,6
107/07/20,5,155,31.25,31.25,30.75,30.75,-0.55,5
107/07/23,1,31,30.55,30.55,30.55,30.55,-0.2,3
107/07/24,1,41,30.60,30.60,30.60,30.60,0.05,4
107/07/25,0,0,--,--,--,--,0.0,0
107/07/26,33,984,29.80,30.10,29.80,30.10,-0.5,4
107/07/27,7,210,29.90,30.20,29.90,30.00,-0.1,7
107/07/30,2,60,29.95,30.00,29.95,30.00,0.0,3
107/07/31,0,0,--,--,--,--,0.0,0
107/08/01,0,0,--,--,--,--,0.0,5
107/08/02,2,61,30.20,30.50,30.20,30.50,0.25,2
107/08/03,110,"3,386",30.50,32.90,30.50,32.90,2.4,14
107/08/06,373,"12,071",32.45,32.45,30.80,30.80,-2.1,29
107/08/07,93,"2,830",30.80,30.80,30.40,30.75,-0.05,13
107/08/08,1,30,29.65,29.65,29.65,29.65,-1.1,1
107/08/09,4,120,29.80,30.25,29.80,30.00,0.35,6
107/08/10,5,143,30.00,31.05,30.00,31.05,1.05,10
107/08/13,6,183,30.95,30.95,30.00,30.70,-0.35,13
107/08/14,4,121,30.25,30.45,30.05,30.05,-0.65,4
107/08/15,7,201,29.60,30.00,29.60,30.00,-0.05,10
